key	状态	opt	cn	en	sp	fr	id	de	kr	zh	ru	ua	jp
TXT_Emoticons_Name_311	AI		[佛得角加油]	[Go Cape Verde!]	[¡Vamos Cabo Verde!]	[Allez Cap-Vert!]	[Ayo Tanjung Verde!]	[Los Kap Verde!]	[카보베르데 파이팅!]	[維德角加油]	[Вперёд, Кабо-Верде!]	[Вперед, Кабо-Верде!]	[がんばれカーボベルデ！]
TXT_Emoticons_Name_312	AI		[克罗地亚加油]	[Go Croatia!]	[¡Vamos Croacia!]	[Allez Croatie!]	[Ayo Kroasia!]	[Los Kroatien!]	[크로아티아 파이팅!]	[克羅埃西亞加油]	[Вперёд, Хорватия!]	[Вперед, Хорватія!]	[がんばれクロアチア！]
TXT_Emoticons_Name_313	AI		[库拉索加油]	[Go Curaçao!]	[¡Vamos Curazao!]	[Allez Curaçao!]	[Ayo Curaçao!]	[Los Curaçao!]	[쿠라사오 파이팅!]	[庫拉索加油]	[Вперёд, Кюрасао!]	[Вперед, Кюрасао!]	[がんばれキュラソー！]
TXT_Emoticons_Name_314	AI		[捷克加油]	[Go Czechia!]	[¡Vamos Chequia!]	[Allez Tchéquie!]	[Ayo Ceko!]	[Los Tschechien!]	[체코 파이팅!]	[捷克加油]	[Вперёд, Чехия!]	[Вперед, Чехія!]	[がんばれチェコ！]
TXT_Emoticons_Name_315	AI		[厄瓜多尔加油]	[Go Ecuador!]	[¡Vamos Ecuador!]	[Allez Équateur!]	[Ayo Ekuador!]	[Los Ecuador!]	[에콰도르 파이팅!]	[厄瓜多加油]	[Вперёд, Эквадор!]	[Вперед, Еквадор!]	[がんばれエクアドル！]
TXT_Emoticons_Name_316	AI		[埃及加油]	[Go Egypt!]	[¡Vamos Egipto!]	[Allez Égypte!]	[Ayo Mesir!]	[Los Ägypten!]	[이집트 파이팅!]	[埃及加油]	[Вперёд, Египет!]	[Вперед, Єгипет!]	[がんばれエジプト！]
TXT_Emoticons_Name_317	AI		[英格兰加油]	[Go England!]	[¡Vamos Inglaterra!]	[Allez Angleterre!]	[Ayo Inggris!]	[Los England!]	[잉글랜드 파이팅!]	[英格蘭加油]	[Вперёд, Англия!]	[Вперед, Англія!]	[がんばれイングランド！]
TXT_Emoticons_Name_318	AI		[西班牙加油]	[Go Spain!]	[¡Vamos España!]	[Allez Espagne!]	[Ayo Spanyol!]	[Los Spanien!]	[스페인 파이팅!]	[西班牙加油]	[Вперёд, Испания!]	[Вперед, Іспанія!]	[がんばれスペイン！]
TXT_Emoticons_Name_319	AI		[法国加油]	[Go France!]	[¡Vamos Francia!]	[Allez France!]	[Ayo Prancis!]	[Los Frankreich!]	[프랑스 파이팅!]	[法國加油]	[Вперёд, Франция!]	[Вперед, Франція!]	[がんばれフランス！]
TXT_Emoticons_Name_320	AI		[德国加油]	[Go Germany!]	[¡Vamos Alemania!]	[Allez Allemagne!]	[Ayo Jerman!]	[Los Deutschland!]	[독일 파이팅!]	[德國加油]	[Вперёд, Германия!]	[Вперед, Німеччина!]	[がんばれドイツ！]
TXT_Emoticons_Name_321	AI		[加纳加油]	[Go Ghana!]	[¡Vamos Ghana!]	[Allez Ghana!]	[Ayo Ghana!]	[Los Ghana!]	[가나 파이팅!]	[迦納加油]	[Вперёд, Гана!]	[Вперед, Гана!]	[がんばれガーナ！]
TXT_Emoticons_Name_322	AI		[海地加油]	[Go Haiti!]	[¡Vamos Haití!]	[Allez Haïti!]	[Ayo Haiti!]	[Los Haiti!]	[아이티 파이팅!]	[海地加油]	[Вперёд, Гаити!]	[Вперед, Гаїті!]	[がんばれハイチ！]
TXT_Emoticons_Name_323	AI		[伊朗加油]	[Go Iran!]	[¡Vamos Irán!]	[Allez Iran!]	[Ayo Iran!]	[Los Iran!]	[이란 파이팅!]	[伊朗加油]	[Вперёд, Иран!]	[Вперед, Іран!]	[がんばれイラン！]
TXT_Emoticons_Name_324	AI		[伊拉克加油]	[Go Iraq!]	[¡Vamos Irak!]	[Allez Irak!]	[Ayo Irak!]	[Los Irak!]	[이라크 파이팅!]	[伊拉克加油]	[Вперёд, Ирак!]	[Вперед, Ірак!]	[がんばれイラク！]
TXT_Emoticons_Name_325	AI		[约旦加油]	[Go Jordan!]	[¡Vamos Jordania!]	[Allez Jordanie!]	[Ayo Yordania!]	[Los Jordanien!]	[요르단 파이팅!]	[約旦加油]	[Вперёд, Иордания!]	[Вперед, Йорданія!]	[がんばれヨルダン！]
TXT_Emoticons_Name_326	AI		[日本加油]	[Go Japan!]	[¡Vamos Japón!]	[Allez Japon!]	[Ayo Jepang!]	[Los Japan!]	[일본 파이팅!]	[日本加油]	[Вперёд, Япония!]	[Вперед, Японія!]	[がんばれ日本！]
TXT_Emoticons_Name_327	AI		[韩国加油]	[Go South Korea!]	[¡Vamos Corea del Sur!]	[Allez Corée du Sud!]	[Ayo Korea Selatan!]	[Los Südkorea!]	[대한민국 파이팅!]	[韓國加油]	[Вперёд, Южная Корея!]	[Вперед, Південна Корея!]	[がんばれ韓国！]
TXT_Emoticons_Name_328	AI		[沙特阿拉伯加油]	[Go Saudi Arabia!]	[¡Vamos Arabia Saudí!]	[Allez Arabie saoudite!]	[Ayo Arab Saudi!]	[Los Saudi-Arabien!]	[사우디아라비아 파이팅!]	[沙烏地阿拉伯加油]	[Вперёд, Саудовская Аравия!]	[Вперед, Саудівська Аравія!]	[がんばれサウジアラビア！]
TXT_Emoticons_Name_329	AI		[摩洛哥加油]	[Go Morocco!]	[¡Vamos Marruecos!]	[Allez Maroc!]	[Ayo Maroko!]	[Los Marokko!]	[모로코 파이팅!]	[摩洛哥加油]	[Вперёд, Марокко!]	[Вперед, Марокко!]	[がんばれモロッコ！]
TXT_Emoticons_Name_330	AI		[墨西哥加油]	[Go Mexico!]	[¡Vamos México!]	[Allez Mexique!]	[Ayo Meksiko!]	[Los Mexiko!]	[멕시코 파이팅!]	[墨西哥加油]	[Вперёд, Мексика!]	[Вперед, Мексика!]	[がんばれメキシコ！]
TXT_Emoticons_Name_331	AI		[荷兰加油]	[Go Netherlands!]	[¡Vamos Países Bajos!]	[Allez Pays-Bas!]	[Ayo Belanda!]	[Los Niederlande!]	[네덜란드 파이팅!]	[荷蘭加油]	[Вперёд, Нидерланды!]	[Вперед, Нідерланди!]	[がんばれオランダ！]
TXT_Emoticons_Name_332	AI		[挪威加油]	[Go Norway!]	[¡Vamos Noruega!]	[Allez Norvège!]	[Ayo Norwegia!]	[Los Norwegen!]	[노르웨이 파이팅!]	[挪威加油]	[Вперёд, Норвегия!]	[Вперед, Норвегія!]	[がんばれノルウェー！]
TXT_Emoticons_Name_333	AI		[新西兰加油]	[Go New Zealand!]	[¡Vamos Nueva Zelanda!]	[Allez Nouvelle-Zélande!]	[Ayo Selandia Baru!]	[Los Neuseeland!]	[뉴질랜드 파이팅!]	[紐西蘭加油]	[Вперёд, Новая Зеландия!]	[Вперед, Нова Зеландія!]	[がんばれニュージーランド！]
TXT_Emoticons_Name_334	AI		[巴拿马加油]	[Go Panama!]	[¡Vamos Panamá!]	[Allez Panama!]	[Ayo Panama!]	[Los Panama!]	[파나마 파이팅!]	[巴拿馬加油]	[Вперёд, Панама!]	[Вперед, Панама!]	[がんばれパナマ！]
TXT_Emoticons_Name_335	AI		[巴拉圭加油]	[Go Paraguay!]	[¡Vamos Paraguay!]	[Allez Paraguay!]	[Ayo Paraguay!]	[Los Paraguay!]	[파라과이 파이팅!]	[巴拉圭加油]	[Вперёд, Парагвай!]	[Вперед, Парагвай!]	[がんばれパラグアイ！]
TXT_Emoticons_Name_336	AI		[葡萄牙加油]	[Go Portugal!]	[¡Vamos Portugal!]	[Allez Portugal!]	[Ayo Portugal!]	[Los Portugal!]	[포르투갈 파이팅!]	[葡萄牙加油]	[Вперёд, Португалия!]	[Вперед, Португалія!]	[がんばれポルトガル！]
TXT_Emoticons_Name_337	AI		[卡塔尔加油]	[Go Qatar!]	[¡Vamos Catar!]	[Allez Qatar!]	[Ayo Qatar!]	[Los Katar!]	[카타르 파이팅!]	[卡達加油]	[Вперёд, Катар!]	[Вперед, Катар!]	[がんばれカタール！]
TXT_Emoticons_Name_338	AI		[南非加油]	[Go South Africa!]	[¡Vamos Sudáfrica!]	[Allez Afrique du Sud!]	[Ayo Afrika Selatan!]	[Los Südafrika!]	[남아프리카공화국 파이팅!]	[南非加油]	[Вперёд, ЮАР!]	[Вперед, ПАР!]	[がんばれ南アフリカ！]
TXT_Emoticons_Name_339	AI		[苏格兰加油]	[Go Scotland!]	[¡Vamos Escocia!]	[Allez Écosse!]	[Ayo Skotlandia!]	[Los Schottland!]	[스코틀랜드 파이팅!]	[蘇格蘭加油]	[Вперёд, Шотландия!]	[Вперед, Шотландія!]	[がんばれスコットランド！]
TXT_Emoticons_Name_340	AI		[塞内加尔加油]	[Go Senegal!]	[¡Vamos Senegal!]	[Allez Sénégal!]	[Ayo Senegal!]	[Los Senegal!]	[세네갈 파이팅!]	[塞內加爾加油]	[Вперёд, Сенегал!]	[Вперед, Сенегал!]	[がんばれセネガル！]
TXT_Emoticons_Name_341	AI		[瑞士加油]	[Go Switzerland!]	[¡Vamos Suiza!]	[Allez Suisse!]	[Ayo Swiss!]	[Los Schweiz!]	[스위스 파이팅!]	[瑞士加油]	[Вперёд, Швейцария!]	[Вперед, Швейцарія!]	[がんばれスイス！]
TXT_Emoticons_Name_342	AI		[瑞典加油]	[Go Sweden!]	[¡Vamos Suecia!]	[Allez Suède!]	[Ayo Swedia!]	[Los Schweden!]	[스웨덴 파이팅!]	[瑞典加油]	[Вперёд, Швеция!]	[Вперед, Швеція!]	[がんばれスウェーデン！]
TXT_Emoticons_Name_343	AI		[突尼斯加油]	[Go Tunisia!]	[¡Vamos Túnez!]	[Allez Tunisie!]	[Ayo Tunisia!]	[Los Tunesien!]	[튀니지 파이팅!]	[突尼西亞加油]	[Вперёд, Тунис!]	[Вперед, Туніс!]	[がんばれチュニジア！]
TXT_Emoticons_Name_344	AI		[土耳其加油]	[Go Türkiye!]	[¡Vamos Turquía!]	[Allez Turquie!]	[Ayo Turki!]	[Los Türkei!]	[튀르키예 파이팅!]	[土耳其加油]	[Вперёд, Турция!]	[Вперед, Туреччина!]	[がんばれトルコ！]
TXT_Emoticons_Name_345	AI		[乌拉圭加油]	[Go Uruguay!]	[¡Vamos Uruguay!]	[Allez Uruguay!]	[Ayo Uruguay!]	[Los Uruguay!]	[우루과이 파이팅!]	[烏拉圭加油]	[Вперёд, Уругвай!]	[Вперед, Уругвай!]	[がんばれウルグアイ！]
TXT_Emoticons_Name_346	AI		[美国加油]	[Go USA!]	[¡Vamos EE. UU.!]	[Allez États-Unis!]	[Ayo AS!]	[Los USA!]	[미국 파이팅!]	[美國加油]	[Вперёд, США!]	[Вперед, США!]	[がんばれアメリカ！]
TXT_Emoticons_Name_347	AI		[乌兹别克斯坦加油]	[Go Uzbekistan!]	[¡Vamos Uzbekistán!]	[Allez Ouzbékistan!]	[Ayo Uzbekistan!]	[Los Usbekistan!]	[우즈베키스탄 파이팅!]	[烏茲別克加油]	[Вперёд, Узбекистан!]	[Вперед, Узбекистан!]	[がんばれウズベキスタン！]
TXT_Item_Name_15420	AI		阿尔及利亚加油（表情）	Go Algeria! (Emote)	¡Vamos Argelia! (Emote)	Allez Algérie! (Emote)	Ayo Aljazair! (Emote)	Los Algerien! (Emote)	알제리 파이팅! (Emote)	阿爾及利亞加油（表情）	Вперёд, Алжир! (Emote)	Вперед, Алжир! (Emote)	がんばれアルジェリア！ (Emote)
TXT_Item_Name_15421	AI		阿根廷加油（表情）	Go Argentina! (Emote)	¡Vamos Argentina! (Emote)	Allez Argentine! (Emote)	Ayo Argentina! (Emote)	Los Argentinien! (Emote)	아르헨티나 파이팅! (Emote)	阿根廷加油（表情）	Вперёд, Аргентина! (Emote)	Вперед, Аргентина! (Emote)	がんばれアルゼンチン！ (Emote)
TXT_Item_Name_15422	AI		澳大利亚加油（表情）	Go Australia! (Emote)	¡Vamos Australia! (Emote)	Allez Australie! (Emote)	Ayo Australia! (Emote)	Los Australien! (Emote)	호주 파이팅! (Emote)	澳大利亞加油（表情）	Вперёд, Австралия! (Emote)	Вперед, Австралія! (Emote)	がんばれオーストラリア！ (Emote)
TXT_Item_Name_15423	AI		奥地利加油（表情）	Go Austria! (Emote)	¡Vamos Austria! (Emote)	Allez Autriche! (Emote)	Ayo Austria! (Emote)	Los Österreich! (Emote)	오스트리아 파이팅! (Emote)	奧地利加油（表情）	Вперёд, Австрия! (Emote)	Вперед, Австрія! (Emote)	がんばれオーストリア！ (Emote)
TXT_Item_Name_15424	AI		比利时加油（表情）	Go Belgium! (Emote)	¡Vamos Bélgica! (Emote)	Allez Belgique! (Emote)	Ayo Belgia! (Emote)	Los Belgien! (Emote)	벨기에 파이팅! (Emote)	比利時加油（表情）	Вперёд, Бельгия! (Emote)	Вперед, Бельгія! (Emote)	がんばれベルギー！ (Emote)
TXT_Item_Name_15425	AI		波黑加油（表情）	Go Bosnia! (Emote)	¡Vamos Bosnia! (Emote)	Allez Bosnie! (Emote)	Ayo Bosnia! (Emote)	Los Bosnien! (Emote)	보스니아 파이팅! (Emote)	波赫加油（表情）	Вперёд, Босния! (Emote)	Вперед, Боснія! (Emote)	がんばれボスニア！ (Emote)
TXT_Item_Name_15426	AI		巴西加油（表情）	Go Brazil! (Emote)	¡Vamos Brasil! (Emote)	Allez Brésil! (Emote)	Ayo Brasil! (Emote)	Los Brasilien! (Emote)	브라질 파이팅! (Emote)	巴西加油（表情）	Вперёд, Бразилия! (Emote)	Вперед, Бразилія! (Emote)	がんばれブラジル！ (Emote)
TXT_Item_Name_15427	AI		加拿大加油（表情）	Go Canada! (Emote)	¡Vamos Canadá! (Emote)	Allez Canada! (Emote)	Ayo Kanada! (Emote)	Los Kanada! (Emote)	캐나다 파이팅! (Emote)	加拿大加油（表情）	Вперёд, Канада! (Emote)	Вперед, Канада! (Emote)	がんばれカナダ！ (Emote)
TXT_Item_Name_15428	AI		科特迪瓦加油（表情）	Go Ivory Coast! (Emote)	¡Vamos Costa de Marfil! (Emote)	Allez Côte d'Ivoire! (Emote)	Ayo Pantai Gading! (Emote)	Los Elfenbeinküste! (Emote)	코트디부아르 파이팅! (Emote)	象牙海岸加油（表情）	Вперёд, Кот-д'Ивуар! (Emote)	Вперед, Кот-д'Івуар! (Emote)	がんばれコートジボワール！ (Emote)
TXT_Item_Name_15429	AI		刚果民主共和国加油（表情）	Go DR Congo! (Emote)	¡Vamos RD Congo! (Emote)	Allez RD Congo! (Emote)	Ayo RD Kongo! (Emote)	Los DR Kongo! (Emote)	콩고민주공화국 파이팅! (Emote)	剛果民主共和國加油（表情）	Вперёд, ДР Конго! (Emote)	Вперед, ДР Конго! (Emote)	がんばれコンゴ民主共和国！ (Emote)
TXT_Item_Name_15430	AI		哥伦比亚加油（表情）	Go Colombia! (Emote)	¡Vamos Colombia! (Emote)	Allez Colombie! (Emote)	Ayo Kolombia! (Emote)	Los Kolumbien! (Emote)	콜롬비아 파이팅! (Emote)	哥倫比亞加油（表情）	Вперёд, Колумбия! (Emote)	Вперед, Колумбія! (Emote)	がんばれコロンビア！ (Emote)
TXT_Item_Name_15431	AI		佛得角加油（表情）	Go Cape Verde! (Emote)	¡Vamos Cabo Verde! (Emote)	Allez Cap-Vert! (Emote)	Ayo Tanjung Verde! (Emote)	Los Kap Verde! (Emote)	카보베르데 파이팅! (Emote)	維德角加油（表情）	Вперёд, Кабо-Верде! (Emote)	Вперед, Кабо-Верде! (Emote)	がんばれカーボベルデ！ (Emote)
TXT_Item_Name_15432	AI		克罗地亚加油（表情）	Go Croatia! (Emote)	¡Vamos Croacia! (Emote)	Allez Croatie! (Emote)	Ayo Kroasia! (Emote)	Los Kroatien! (Emote)	크로아티아 파이팅! (Emote)	克羅埃西亞加油（表情）	Вперёд, Хорватия! (Emote)	Вперед, Хорватія! (Emote)	がんばれクロアチア！ (Emote)
TXT_Item_Name_15433	AI		库拉索加油（表情）	Go Curaçao! (Emote)	¡Vamos Curazao! (Emote)	Allez Curaçao! (Emote)	Ayo Curaçao! (Emote)	Los Curaçao! (Emote)	쿠라사오 파이팅! (Emote)	庫拉索加油（表情）	Вперёд, Кюрасао! (Emote)	Вперед, Кюрасао! (Emote)	がんばれキュラソー！ (Emote)
TXT_Item_Name_15434	AI		捷克加油（表情）	Go Czechia! (Emote)	¡Vamos Chequia! (Emote)	Allez Tchéquie! (Emote)	Ayo Ceko! (Emote)	Los Tschechien! (Emote)	체코 파이팅! (Emote)	捷克加油（表情）	Вперёд, Чехия! (Emote)	Вперед, Чехія! (Emote)	がんばれチェコ！ (Emote)
TXT_Item_Name_15435	AI		厄瓜多尔加油（表情）	Go Ecuador! (Emote)	¡Vamos Ecuador! (Emote)	Allez Équateur! (Emote)	Ayo Ekuador! (Emote)	Los Ecuador! (Emote)	에콰도르 파이팅! (Emote)	厄瓜多加油（表情）	Вперёд, Эквадор! (Emote)	Вперед, Еквадор! (Emote)	がんばれエクアドル！ (Emote)
TXT_Item_Name_15436	AI		埃及加油（表情）	Go Egypt! (Emote)	¡Vamos Egipto! (Emote)	Allez Égypte! (Emote)	Ayo Mesir! (Emote)	Los Ägypten! (Emote)	이집트 파이팅! (Emote)	埃及加油（表情）	Вперёд, Египет! (Emote)	Вперед, Єгипет! (Emote)	がんばれエジプト！ (Emote)
TXT_Item_Name_15437	AI		英格兰加油（表情）	Go England! (Emote)	¡Vamos Inglaterra! (Emote)	Allez Angleterre! (Emote)	Ayo Inggris! (Emote)	Los England! (Emote)	잉글랜드 파이팅! (Emote)	英格蘭加油（表情）	Вперёд, Англия! (Emote)	Вперед, Англія! (Emote)	がんばれイングランド！ (Emote)
TXT_Item_Name_15438	AI		西班牙加油（表情）	Go Spain! (Emote)	¡Vamos España! (Emote)	Allez Espagne! (Emote)	Ayo Spanyol! (Emote)	Los Spanien! (Emote)	스페인 파이팅! (Emote)	西班牙加油（表情）	Вперёд, Испания! (Emote)	Вперед, Іспанія! (Emote)	がんばれスペイン！ (Emote)
TXT_Item_Name_15439	AI		法国加油（表情）	Go France! (Emote)	¡Vamos Francia! (Emote)	Allez France! (Emote)	Ayo Prancis! (Emote)	Los Frankreich! (Emote)	프랑스 파이팅! (Emote)	法國加油（表情）	Вперёд, Франция! (Emote)	Вперед, Франція! (Emote)	がんばれフランス！ (Emote)
TXT_Item_Name_15440	AI		德国加油（表情）	Go Germany! (Emote)	¡Vamos Alemania! (Emote)	Allez Allemagne! (Emote)	Ayo Jerman! (Emote)	Los Deutschland! (Emote)	독일 파이팅! (Emote)	德國加油（表情）	Вперёд, Германия! (Emote)	Вперед, Німеччина! (Emote)	がんばれドイツ！ (Emote)
TXT_Item_Name_15441	AI		加纳加油（表情）	Go Ghana! (Emote)	¡Vamos Ghana! (Emote)	Allez Ghana! (Emote)	Ayo Ghana! (Emote)	Los Ghana! (Emote)	가나 파이팅! (Emote)	迦納加油（表情）	Вперёд, Гана! (Emote)	Вперед, Гана! (Emote)	がんばれガーナ！ (Emote)
TXT_Item_Name_15442	AI		海地加油（表情）	Go Haiti! (Emote)	¡Vamos Haití! (Emote)	Allez Haïti! (Emote)	Ayo Haiti! (Emote)	Los Haiti! (Emote)	아이티 파이팅! (Emote)	海地加油（表情）	Вперёд, Гаити! (Emote)	Вперед, Гаїті! (Emote)	がんばれハイチ！ (Emote)
TXT_Item_Name_15443	AI		伊朗加油（表情）	Go Iran! (Emote)	¡Vamos Irán! (Emote)	Allez Iran! (Emote)	Ayo Iran! (Emote)	Los Iran! (Emote)	이란 파이팅! (Emote)	伊朗加油（表情）	Вперёд, Иран! (Emote)	Вперед, Іран! (Emote)	がんばれイラン！ (Emote)
TXT_Item_Name_15444	AI		伊拉克加油（表情）	Go Iraq! (Emote)	¡Vamos Irak! (Emote)	Allez Irak! (Emote)	Ayo Irak! (Emote)	Los Irak! (Emote)	이라크 파이팅! (Emote)	伊拉克加油（表情）	Вперёд, Ирак! (Emote)	Вперед, Ірак! (Emote)	がんばれイラク！ (Emote)
TXT_Item_Name_15445	AI		约旦加油（表情）	Go Jordan! (Emote)	¡Vamos Jordania! (Emote)	Allez Jordanie! (Emote)	Ayo Yordania! (Emote)	Los Jordanien! (Emote)	요르단 파이팅! (Emote)	約旦加油（表情）	Вперёд, Иордания! (Emote)	Вперед, Йорданія! (Emote)	がんばれヨルダン！ (Emote)
TXT_Item_Name_15446	AI		日本加油（表情）	Go Japan! (Emote)	¡Vamos Japón! (Emote)	Allez Japon! (Emote)	Ayo Jepang! (Emote)	Los Japan! (Emote)	일본 파이팅! (Emote)	日本加油（表情）	Вперёд, Япония! (Emote)	Вперед, Японія! (Emote)	がんばれ日本！ (Emote)
TXT_Item_Name_15447	AI		韩国加油（表情）	Go South Korea! (Emote)	¡Vamos Corea del Sur! (Emote)	Allez Corée du Sud! (Emote)	Ayo Korea Selatan! (Emote)	Los Südkorea! (Emote)	대한민국 파이팅! (Emote)	韓國加油（表情）	Вперёд, Южная Корея! (Emote)	Вперед, Південна Корея! (Emote)	がんばれ韓国！ (Emote)
TXT_Item_Name_15448	AI		沙特阿拉伯加油（表情）	Go Saudi Arabia! (Emote)	¡Vamos Arabia Saudí! (Emote)	Allez Arabie saoudite! (Emote)	Ayo Arab Saudi! (Emote)	Los Saudi-Arabien! (Emote)	사우디아라비아 파이팅! (Emote)	沙烏地阿拉伯加油（表情）	Вперёд, Саудовская Аравия! (Emote)	Вперед, Саудівська Аравія! (Emote)	がんばれサウジアラビア！ (Emote)
TXT_Item_Name_15449	AI		摩洛哥加油（表情）	Go Morocco! (Emote)	¡Vamos Marruecos! (Emote)	Allez Maroc! (Emote)	Ayo Maroko! (Emote)	Los Marokko! (Emote)	모로코 파이팅! (Emote)	摩洛哥加油（表情）	Вперёд, Марокко! (Emote)	Вперед, Марокко! (Emote)	がんばれモロッコ！ (Emote)
TXT_Item_Name_15450	AI		墨西哥加油（表情）	Go Mexico! (Emote)	¡Vamos México! (Emote)	Allez Mexique! (Emote)	Ayo Meksiko! (Emote)	Los Mexiko! (Emote)	멕시코 파이팅! (Emote)	墨西哥加油（表情）	Вперёд, Мексика! (Emote)	Вперед, Мексика! (Emote)	がんばれメキシコ！ (Emote)
TXT_Item_Name_15451	AI		荷兰加油（表情）	Go Netherlands! (Emote)	¡Vamos Países Bajos! (Emote)	Allez Pays-Bas! (Emote)	Ayo Belanda! (Emote)	Los Niederlande! (Emote)	네덜란드 파이팅! (Emote)	荷蘭加油（表情）	Вперёд, Нидерланды! (Emote)	Вперед, Нідерланди! (Emote)	がんばれオランダ！ (Emote)
TXT_Item_Name_15452	AI		挪威加油（表情）	Go Norway! (Emote)	¡Vamos Noruega! (Emote)	Allez Norvège! (Emote)	Ayo Norwegia! (Emote)	Los Norwegen! (Emote)	노르웨이 파이팅! (Emote)	挪威加油（表情）	Вперёд, Норвегия! (Emote)	Вперед, Норвегія! (Emote)	がんばれノルウェー！ (Emote)
TXT_Item_Name_15453	AI		新西兰加油（表情）	Go New Zealand! (Emote)	¡Vamos Nueva Zelanda! (Emote)	Allez Nouvelle-Zélande! (Emote)	Ayo Selandia Baru! (Emote)	Los Neuseeland! (Emote)	뉴질랜드 파이팅! (Emote)	紐西蘭加油（表情）	Вперёд, Новая Зеландия! (Emote)	Вперед, Нова Зеландія! (Emote)	がんばれニュージーランド！ (Emote)
TXT_Item_Name_15454	AI		巴拿马加油（表情）	Go Panama! (Emote)	¡Vamos Panamá! (Emote)	Allez Panama! (Emote)	Ayo Panama! (Emote)	Los Panama! (Emote)	파나마 파이팅! (Emote)	巴拿馬加油（表情）	Вперёд, Панама! (Emote)	Вперед, Панама! (Emote)	がんばれパナマ！ (Emote)
TXT_Item_Name_15455	AI		巴拉圭加油（表情）	Go Paraguay! (Emote)	¡Vamos Paraguay! (Emote)	Allez Paraguay! (Emote)	Ayo Paraguay! (Emote)	Los Paraguay! (Emote)	파라과이 파이팅! (Emote)	巴拉圭加油（表情）	Вперёд, Парагвай! (Emote)	Вперед, Парагвай! (Emote)	がんばれパラグアイ！ (Emote)
