# FConline瓦坎达 永恒评述直播切片 中期21:53 第1章普斯卡什起
# 抓取转写 2026-07-25

[00:00] 单狗相声只永恒切片,攻击他来了
[01:48] 然后把挺好用的
[01:49] 哎是吧
[01:51] 就就是挺好用的
[01:52] 你能理解我意思吗
[01:53] 卡洛斯强度非常高
[01:54] 就是就是你要是想用他去替代
[01:57] 你想象中的永恒卡洛斯他做不到
[01:59] 他真的做不到
[02:00] 但是他他不难用
[02:01] 就是你懂我意思吗
[02:02] 就是就那种感觉是混了
[02:04] 也不能说混
[02:05] 反正挺厉害
[02:06] 但是也不是非得买
[02:07] 反正挺强的
[02:07] 就是挺强
[02:08] 只能给到挺强的
[02:11] 小猪
[02:12] 这个卡其实在WG小猪出来之前
[02:14] 应该是慢点提起手推的一张卡
[02:16] 手感非常好
[02:17] 这卡的基础质量和关键属性给的非常好
[02:20] 这个卡是我心目中最好用的
[02:22] 四五角的永恒之一
[02:24] 我给他的评价是非常非常非常高的
[02:27] 但是这个卡一价太过严重了
[02:30] 他132能力值1500兆
[02:32] 刚刚看的普斯卡是136能力值1200
[02:35] 就这个卡我能给到一个顶级
[02:37] 就手感非常好
[02:38] 不管是败人
[02:39] 曼联还是德国都可以手发的一张好卡
[02:42] 在我心目中极其做好
[02:43] 但是太贵了
[02:44] 而且WG的那张卡完全可以替代它
[02:47] 如果说小猪从来没有出过五四角的
[02:49] 那这张卡这么贵
[02:49] 我能理解
[02:50] 但是WG它是五四角
[02:52] 而且能力值不差的情况下
[02:53] 这个大家自己选择
[02:54] 能力值低
[02:55] 一价减重
[02:56] 但关键属性非常好
[02:57] 手感非常好
[02:58] 好吧
[02:59] 我个人觉得比爱心好用
[03:00] 我个人觉得
[03:01] 内斯塔我要说一下
[03:02] 内斯塔我要给他证明一下
[03:04] 内斯塔这张卡在我心目中
[03:06] 在后卫的选项里面
[03:07] 永恒一面是非常高的
[03:08] 这个卡不难用
[03:09] 兄弟们真的不难用
[03:10] 甚至我能给到他顶级
[03:12] 这个卡我能给到他顶级
[03:13] 他唯一可能差一点
[03:15] 就是破坏者
[03:15] 可能不是那么优异
[03:16] 但是也不是没用
[03:18] 对吧
[03:18] 至于风度和警车看自己手感
[03:20] 时刻
[03:21] 时刻内斯塔
[03:22] 我相信很多人用我
[03:23] 时刻内斯塔和赛地卡
[03:24] 完全不是一个人
[03:25] 这个卡真的很不错
[03:26] 而且他工资不是特别高
[03:28] 也不低了
[03:29] 然后他和维蒂奇
[03:31] 我个人就得看你自己的选人
[03:33] 就是你手鞋人是快与慢
[03:35] 懂我意思吗
[03:35] 是快与慢
[03:36] 如果你手鞋老是慢
[03:37] 那你就得选
[03:38] 他会比维蒂奇相对好一点
[03:40] 但如果你手鞋比较快
[03:42] 我会选
[03:42] 都是初始金客性的维蒂奇
[03:44] 这个卡我在我心目中
[03:45] 非常做好的一张卡
[03:47] 真的非常不错的一张卡
[03:48] 而且能力值不低
[03:49] 户口也不错
[03:50] 真的不错这个卡
[03:52] 空马斯莫乐
[03:52] 我没用过这个卡
[03:54] 我真的不知道该怎么去评价
[03:56] 我不知道真的不知道该怎么评价
[03:58] 这个卡
[04:00] 但是我觉得他不是下水刀
[04:01] 一个核心原因就是模型不错
[04:03] 然后金特性给的不错
[04:04] 双五角保下线
[04:06] 这个卡我个人是做好的
[04:08] 但是我没有用过
[04:08] 我觉得大家可以去买这张卡
[04:11] 真的
[04:13] 我觉得大家可以去买这张卡
[04:14] 它就是远射差的一些
[04:15] 我没记错的话
[04:16] 但是也及格了
[04:18] 它能力值不高
[04:19] 你合个6卡
[04:20] 然后再集训144也及格了
[04:22] 真的
[04:23] 小丑加渗透者或者渗透者
[04:24] 脱裂者
[04:25] 就什么位置都可以打
[04:26] 可以拉边
[04:26] 可以打一封可以打前腰
[04:28] 我做好的这个卡
[04:29] 因为FAC模的
[04:30] 我是用我的
[04:30] 我感觉是不错的
[04:31] 放边路也不错
[04:32] 因为它76公斤跑得起来的
[04:34] 这个卡真的挺好的
[04:35] 做好
[04:35] 但是没用我没抽过
[04:37] 看期待也不知道后面什么情况
[04:42] 等一下
[04:46] 这个折要挨骂了
[04:47] 我感觉
[04:51] 记得人不管
[05:03] 优点
[05:06] 顶级户口没毛病吧
[05:08] 这是他的优点
[05:09] 黄马曼联 荷兰
[05:10] 我看还有钱
[05:11] 黄马曼联 荷兰
[05:13] 爱因霍文
[05:14] 顶级户口没毛病吧
[05:16] 然后对抗
[05:21] 就是很一般吧
[05:24] 我优着点了
[05:25] 我觉得直播间要是两三百个人
[05:28] 我就说了
[05:28] 这么多人
[05:29] 我不好意思说
[05:30] 而且我害怕被喷
[05:31] 好吧
[05:31] 就是一般
[05:32] 很一般
[05:32] 非常一般
[05:33] 极其一般的一张卡
[05:37] 在我心目中说实话
[05:39] 我真的说实话
[05:39] 在我心目中甚至比不上阿兰希勒
[05:41] 兄弟们
[05:42] 在我心目中甚至比不上阿兰希勒
[05:46] 蓝马德来了
[05:47] 蓝马德
[05:48] 这张卡为大家细细分析一下
[05:49] 首先蓝马德和任何一张蓝马德赛季卡和时刻卡
[05:54] 都不一样
[05:54] 这张卡是我用我最灵活的蓝马德
[05:57] 但是他的灵活范畴
[05:58] 仅对于蓝马德这张卡来说
[06:01] 你别觉得你别说
[06:01] 小法说的这张卡灵活
[06:02] 他就比贝利灵活
[06:03] 不是
[06:04] 不
[06:04] 那不可能
[06:05] 所有蓝马德系列里
[06:06] 包括时刻最灵活的卡
[06:07] 就是这张永恒蓝马德
[06:09] 手感有明显差距
[06:10] 而且蓝马德这张卡
[06:11] 最出名的就是他的对抗远射
[06:14] 还有他的挫射其实还好
[06:15] 但数据给的挺好
[06:16] 但是挫射没有在远射抢
[06:18] 这张蓝马德我个人觉得非常好
[06:19] 就是我很喜欢这张蓝马德
[06:21] 而且我多个切尔西对套
[06:23] 在能戴打的时候
[06:24] 都是用的蓝马德
[06:25] 这张蓝马德真的非常好用
[06:27] 而且前腰中场后腰全部能打
[06:29] 如果你挂渗透者的话
[06:31] 还可以小小的尝试挂一下拉边
[06:33] 挂渗透者的话可以拉边
[06:35] 但是我的前提是
[06:36] 这张蓝马德他依旧保持着相对
[06:38] 比较僵硬的一个手感
[06:39] 他只是所有蓝马德系列里面最灵活的
[06:42] 但是他和灵活的后腰
[06:44] 比如说马多沃斯比不了
[06:45] 这个就要看大家了
[06:46] 我个人觉得这张卡还是做好能
[06:49] 我非常喜欢这张卡
[06:51] 我非常喜欢这张卡
[06:52] 好吧
[06:53] 我觉得是很好用的
[06:55] 但是话题来了
[06:56] 杰拉德和蓝马德选哪张呢
[06:58] 选杰拉德
[06:59] 杰拉德的综合手感比蓝马德好用
[07:01] 这是没有任何质疑的问题
[07:04] 这张卡我很喜欢
[07:04] 我觉得很好用
[07:05] 但是至于大家能不能用
[07:07] 这个自己分析
[07:08] 就是特点给大家讲的非常明白了
[07:10] 就比如说你之前用过蓝马德
[07:12] 但是把你就觉得蓝马德
[07:13] 除了笨一点硬一点
[07:15] 其他没毛病
[07:15] 好
[07:16] 那你就买它
[07:17] 用横蓝马德就能解决掉
[07:18] 你心目中这个问题
[07:19] 但是你一上手蓝马德
[07:21] 不管是FAC的还是
[07:21] 还是以前的任何一张蓝马德
[07:23] 你一用你就觉得好笨
[07:24] 那就不要买它
[07:25] 因为这张卡它也是给你那种感觉
[07:27] 好吧
[07:28] 兄弟们
[07:29] 来了
[07:32] 如果是上个版本
[07:33] 我会把它
[07:34] 我会把八桥抬到神中神中神的位置
[07:37] 在上个版本
[07:37] 就是灵巧还是最强经特性的时候
[07:39] 我会把它抬到神中神中神的版本
[07:41] 但是现在不是了
[07:42] 我解释一下这张八桥
[07:43] 首先八桥的户口是非常好的一张户口
[07:47] 但是这是过去了
[07:48] 因为现在出了WG渗透者八桥了
[07:51] 所以大家在唯一能买一张永恒的情况下
[07:54] 可以不用考虑这张八桥了
[07:56] 实在话
[07:57] 因为如果大家看过我之前的那一期的话
[07:59] 我是说的是
[08:00] 如果只有一张永恒的预算的话
[08:03] 是先买这张的
[08:04] 但是由于我们有了WG渗透者八桥存在
[08:06] 就不是唯一要买它了
[08:07] 甚至你可以不买它
[08:09] 因为灵巧初始经特性
[08:10] 其实是变相削弱的八桥
[08:12] 这是第一个
[08:13] 第二个八桥的爆发力是非常强的
[08:15] 但持续跟跑的速度不是它的优势
[08:17] 不是它的优势
[08:18] 所以这张卡在我心目中是比以前降挡的
[08:21] 但是如果最近看过不带打的
[08:23] 我打我自己的好这张八桥的表现
[08:25] 我也是从挑一还是什么时候打到子球
[08:28] 这个八桥在我自己的这种里面
[08:30] 进球如马
[08:31] 总体来说是一个质量非常高的卡
[08:33] 可以打前腰 硬封 边前边封
[08:35] 但是不是神中神了
[08:37] 不是特别厉害了
[08:38] 因为灵巧削弱
[08:39] 而且速度问题
[08:40] 好吧
[08:40] 实在来说
[08:41] 这张卡是非常不错的一张卡
[08:42] 但是可以用WGT带
[08:46] 托尼克罗斯这张卡是一个非常尴尬的一张卡
[08:48] 因为它金书送可以用WG10卡去T带
[08:52] 对吧
[08:53] 第二个
[08:53] 你想看能力值的
[08:55] 有高配的10卡
[08:56] 有低中配的11卡给你选择
[08:59] 而且都不是很贵
[09:00] 所以说托尼克罗斯这张卡真的是可买可保买
[09:02] 尤其是它的户口
[09:03] 德国
[09:04] 对吧
[09:04] 德国
[09:05] 黄马
[09:06] 还有这个败人
[09:07] 都是中场非常豪华的
[09:10] 所以说你买它也没有任何问题
[09:12] 你不买它
[09:12] 也没有任何问题
[09:14] 它T带卡太多了
[09:15] 主要是户口对套里面T带这个人的也特别多了
[09:20] 所以说这个卡
[09:21] 整体手感还是和以前大家的想法一样的
[09:23] 就是射门弧线特别猛
[09:26] 然后有一定的对抗
[09:28] 但是手感偏柔
[09:30] 和大家脑子里面的克罗斯是一样的
[09:33] 而且是可以T带的卡
[09:35] 好吧
[09:35] 确实是用的其他的卡
[09:37] 可以买更好的
[09:39] 哎呦巴递斯图塔
[09:40] 这个卡我没有用过
[09:43] 真的没有用过
[09:45] 但是我用过WG的那张卡
[09:47] 这张卡在我新国中是做好的
[09:49] 1米8573公斤普通的双五角
[09:51] 然后这个基本素质是保下线
[09:55] 还是会有一些瘦
[09:57] 然后贴地斩给到中锋
[09:58] 其实你就应该往身后放
[10:00] 你要贴地斩给到中锋
[10:01] 其实你不
[10:02] 反正我没用过
[10:04] 这个没出是吧
[10:06] 反正没用我也没见过
[10:08] 只能不好评价
[10:09] 反正期待一手吧
[10:10] 反正我用了WG那张四五角
[10:12] 偷裂着巴递
[10:13] 给我的感觉是一般的
[10:14] 我说手感上一般的
[10:16] 这个卡有可能会变好一些吧
[10:17] 这个期待吧我觉得
[10:18] 我没有太好的评
[10:21] 就是因为没用我
[10:23] 就反正是差一切我觉得
[10:26] 来了
[10:27] 第一个神中神中神中神
[10:31] 这张卡在我新国中
[10:32] 就是神中神中神
[10:33] 这是第一个神中神中神
[10:35] 为什么我解释一下
[10:36] 我所有的话都是有理由的
[10:37] 第一个鲁尼是不可替代的卡
[10:39] 这张卡不可替代
[10:40] 因为没有好的赛季卡出
[10:42] 没有好的赛季卡出
[10:43] 只有时刻和这张卡
[10:45] 第二个鲁尼这张卡
[10:46] 是可以打多个位置的
[10:47] 中锋隐封前腰
[10:48] 边锋中场甚至后腰
[10:50] 这张卡没有说错吧
[10:51] 兄弟们
[10:52] 我这就是未平
[10:53] 这这张卡在我新国中
[10:54] 包括上一期
[10:54] 我也是这个评价
[10:56] 你就说我手里有没有王臂
[10:56] 他是可以打多个位置的
[10:58] 他就是前场或者是中场的
[10:59] 多面熟
[11:00] 你可以客串任何一个位置
[11:02] 第三个我觉得他的手感是壮
[11:04] 但是不笨
[11:04] 他很灵活
[11:06] 我觉得很灵活
[11:07] 不过大家如果延迟高
[11:08] 或者说就是觉得他不灵活
[11:09] 我也能理解
[11:10] 然后他的对抗非常好
[11:11] 他的对抗非常好
[11:13] 然后射门也非常好
[11:14] 投球也有
[11:15] 我真的觉得他非常强
[11:17] 关键是他在前场有一手反抢
[11:19] 你能明白吗
[11:20] 兄弟们
[11:21] 这个卡在前场和内德为德
[11:22] 有那么一点点像
[11:23] 就是你直接开压泼带的前场
[11:24] 给对方出球的压力会很大
[11:26] 我觉得是非常好用的
[11:27] 在我心目中是神中神中神中神
[11:29] 但是以上的皮下
[11:30] 都只代表我个人意见
[11:32] 给大家仅仅一参考
[11:33] 好吧
[11:35] 我个人是这么觉得
[11:36] 然后烏克三界斯
[11:37] 这张卡是一个好卡
[11:38] 但是达不了神中神的级别
[11:39] 这张卡特别明显的优点
[11:41] 是爆发力十足
[11:42] 他和罗伊斯之流
[11:43] 就完全不一样
[11:44] 他特别能冲
[11:45] 拉不住
[11:47] 然后这张卡有一个明显的缺点
[11:49] 是球力脚比较远
[11:50] 盘带属性
[11:51] 或者说盘带给你的感觉
[11:52] 是很一般的
[11:53] 但是这张卡的射门很强
[11:55] 可以打中锋
[11:56] 前腰
[11:57] 隐锋
[11:57] 边前
[11:58] 边位
[11:58] 而且是黄马
[11:59] 目前也是挺多人的一个选择
[12:02] 对
[12:02] 还有个四星花式
[12:03] 对吧
[12:03] 还有个四星花式
[12:04] 一个他一个塞雅雷斯
[12:05] 这个四星花式
[12:06] 就导致这个人打边路很难受
[12:08] 你知道吧
[12:09] 我个人认为边路的牛尾巴
[12:11] 还有无相部
[12:11] 还有小丑都比较重要
[12:13] 反正是
[12:14] 但是他优点很明显
[12:15] 就是他冲击力和爆发力
[12:17] 真的具强
[12:18] 就是各有优点的一张卡
[12:20] 这个大家自己选吧
[12:21] 反正在我心目中
[12:22] 达不到顶级
[12:23] 但绝对不拉
[12:24] 就绝对不拉
[12:26] 就是这么个情况
[12:27] 就猛猛跑
[12:27] 如果你是什么意思
[12:29] 四星花式会限制一些五星花式
[12:31] 会限制一些五星花式
[12:32] 你知道吧
[12:33] 就是你如果是猛猛爆发
[12:35] 持球通过或者是反击流
[12:37] 那这个卡绝对适合你
[12:38] 但是如果你像我一样喜欢
[12:40] 就是游龙喜欢做花式
[12:41] 相对来说就会难受一些
[12:44] 但是我也不是没用他
[12:45] 带哪过曾经也是一路打上去的
[12:47] 确实不错
[12:48] 这个卡
[12:49] 但是好有好的好坏有坏的坏
[12:53] 老二打不了单中锋
[12:54] 我个人去
[12:56] 奥佩蒂特这个卡
[12:57] 我真的要好好说一下
[12:58] 首先这张卡
[12:59] 优缺点极明显
[13:00] 而且优点比缺点多
[13:01] 优点一定比缺点多
[13:03] 佩蒂特一直是我认为
[13:05] 最强的五三角防守的人
[13:07] 真的是很强
[13:07] 而且他从TT赛季除了那些
[13:10] 就是就出那些卡
[13:12] 因为他赛季卡确实出了一般
[13:14] 但是这张卡的防守是真的强
[13:16] 而且他是我见过的那种1米85模型
[13:19] 还能做到马托狐斯覆盖的
[13:21] 这么的一个卡
[13:22] 你能懂我意思吗
[13:23] 我再说相同的格
[13:24] 你先等一下
[13:25] 就是一般情况下
[13:26] 是大模型覆盖面积
[13:27] 小单是对抗好
[13:28] 小模型覆盖面积大
[13:29] 但是对抗差
[13:30] 这张卡是属于大模型企业
[13:31] 贼能跑贼能覆盖
[13:33] 这是他最好的优点
[13:34] 而且防守效率极高
[13:36] 但是缺点来了
[13:37] 第一个就是双星
[13:39] 对不起各位
[13:40] 我真的不知道排位双星有啥用
[13:42] 我确实不知道双星到底有啥用
[13:44] 如果他比一个斗士将是更屌的存在
[13:47] 第二第三个就是大家
[13:48] 第二个就是大家所理解的五三角
[13:50] 还是有一些影响的
[13:51] 但是总的来说
[13:52] 五三角我是比较推荐他的
[13:54] 我真的比较推荐他
[13:55] 他比其他的五三角要强太多了
[13:58] 他比其他的五三角要强太多了
[14:01] 所以我是挺推荐这张卡
[14:04] 对
[14:04] 然后我借这个我说一下双星
[14:06] 就像我之前发的作品里面
[14:07] 之前渗透者不落的时候
[14:09] 我说过一句话叫
[14:10] 不一定是我说的
[14:11] 曾经大家说过一句话
[14:13] 叫神峰都在渗透者
[14:14] 当时渗透者不强的时候
[14:15] 谁戴着
[14:15] 大多
[14:16] 对吧
[14:17] 爱托奥
[14:17] 亨利
[14:18] 刷雷斯
[14:19] 神峰没毛病
[14:20] 然后渗透者加强了
[14:22] 你想想双星是谁戴的
[14:24] 马多斯
[14:25] 佩蒂特
[14:25] 略伦特
[14:26] 内德维德
[14:28] 就是有可能这个卡如果加强
[14:31] 也会很猛的
[14:32] 我们期待一下
[14:33] 兄弟们
[14:33] 我说的这个规律也是有可能的
[14:35] 兄弟们
[14:36] 他有哀心
[14:37] 对吧
[14:38] 这也都是神卡呀
[14:39] 三连地
[14:40] 这些防守都很好
[14:41] 如果说是把双星加强一下
[14:42] 说不定会很强
[14:43] 所以我们值得期待一下吧
[14:45] 我先不回大家弹幕
[14:46] 我把我的单口相声说完
[14:47] 有点累
[14:47] 我吵一口作气
[14:48] 再而甩三而解
[14:50] 辽飞丁兰德在我心目中
[14:51] 确定都是神卡非常好
[14:52] 所以我给他的评价是神宗神宗神
[14:54] 我给他的评价是神宗神宗神
[14:57] 这张卡从赛季卡开始到马年
[14:59] 即便没有金特性
[15:00] 到WS30公司破坏者金特性
[15:02] 到时刻
[15:04] 到永恒
[15:05] 首先大众赛和职业赛的选择是非常高的
[15:07] 然后他一般都是大家传奇到默认
[15:09] 当时就是托拉姆
[15:11] 马尔基尼
[15:12] 飞丁兰德
[15:13] 好吧
[15:14] 这个卡是比较少数的是
[15:16] 又快又能扛又能顶的一个模板
[15:19] 我觉得非常好用
[15:20] 美中不足的就是破坏者
[15:22] 可能稍微差那么一点
[15:24] 比如说他给到警车
[15:25] 或者肚市或者封堵
[15:27] 我觉得会更猛
[15:28] 已经是神宗神宗神的级别了
[15:29] 非常牛逼的一张卡
[15:31] 有条件买
[15:32] 这个就不用说了
[15:34] 这是第二个神宗神宗神宗神
[15:36] 第一个是我个人认为第一个是陆明
[15:38] 第二是我心目中的神宗神宗神宗神
[15:40] 这个卡不用看金特性
[15:42] 不用看模型
[15:43] 不用看数据
[15:44] 就看头像和名字
[15:46] 就是神宗神
[15:47] 然后再看数据
[15:48] 反抢能力
[15:49] 边中都能打
[15:50] 后腰都能客串
[15:51] 然后就非常强这个卡
[15:53] 非常强神宗神宗神宗神
[15:56] 好吧没有任何毛病
[15:58] 外园
[15:59] 就是就完全不看能力值
[16:01] 就哪怕你用LE的那张10卡
[16:02] 他都非常强
[16:03] 我不明白为什么
[16:05] 他真的很强
[16:06] 尤其是反抢
[16:08] 就是你喜欢丢球会立即反抢这个板子的
[16:09] 你要放一个内队
[16:10] 为了他在前场真的是脚实问
[16:12] 会让对手非常难受的
[16:14] 然后车犯跟
[16:15] 这个卡我被贴巴的兄弟们骂读
[16:17] 我也不知道为什么
[16:19] 这个卡我现在说一下
[16:21] 公平公正的说
[16:21] 这个卡真的挺好用的
[16:23] 真的挺好用的
[16:25] 但是你说它是韩国大楼
[16:26] 我觉得差一些
[16:27] 我跟人真的觉得差一点
[16:28] 但是永恒有个特别好的地方
[16:30] 是可以拉标
[16:31] 这张卡可以拉标
[16:32] 因为它的传统数据也在线
[16:34] 然后金特性稍差
[16:35] 但是银特性包括基础手感
[16:37] 其实车犯跟差不多
[16:38] 和大家之前接触的车犯跟真的差不多
[16:40] 所以在我目前的评价是一个神卡
[16:44] 但是达不到什么神宗神啊
[16:45] 神宗神
[16:46] 就是真的没有那么强
[16:50] 但是也挺强的
[16:51] 兄弟们
[16:51] 这个卡我被贴巴骂过
[16:53] 好像有一个隔门
[16:53] 他手里面有一张这个卡
[16:55] 然后我发了一个娱乐帖
[16:56] 我那张娱乐帖里面
[16:57] 就是车犯跟踢飞机了
[16:58] 但是我底下的评论
[16:59] 我说这是一个娱乐帖
[17:01] 车犯跟还是很强
[17:01] 他完全不砍
[17:02] 他直接发帖吧
[17:03] 就说价价怪物
[17:05] 我也没办法
[17:06] 这是我相对来说比较公平公正的
[17:08] 是好用的一张卡
[17:09] 但是我觉得达不到
[17:10] 就是大家嘴里说的大楼那个级别
[17:13] 没用过
[17:14] 但是卡在米罗有个很明显的特点
[17:16] 卡在米罗的正面防手非常强
[17:18] 强断比较干净利索
[17:20] 这个绝对是它的优点
[17:21] 有些卡是断不干净的
[17:22] 这个卡它是能断干净的
[17:25] 断球非常干净的
[17:26] 比较正面防手不错
[17:27] 也没有那么笨
[17:28] 但是它有个极大缩点缺点
[17:29] 作为中前位也好
[17:30] 作为后腰也好
[17:31] 它没有挫射
[17:32] 这个胳膊不能挫射的
[17:33] 它只能远射
[17:35] 所以说看大家放的位置
[17:36] 你是放到这边去打反角
[17:38] 还是放到这边去打进角
[17:39] 或者反角自己选
[17:40] 喜欢打绿射的
[17:41] 喜欢打铁地毯的
[17:41] 喜欢打远射的
[17:42] 这张卡应该很高
[17:43] 防守效率很高
[17:44] 但是它的防守类型和佩蒂特不一样
[17:46] 兄弟们
[17:47] 他和佩蒂特都是防守汉将
[17:49] 但不一样
[17:50] 佩蒂特是覆盖
[17:51] 再加缠斗
[17:52] 哥们是撞
[17:54] 哥们是怼
[17:55] 哥们是扛
[17:56] 卡三明通是扛
[17:56] 撞
[17:57] 怼
[17:57] 干
[17:58] 然后佩蒂特是骚扰
[17:59] 缠斗
[18:00] 跑步追你
[18:01] 干扰
[18:01] 拦劫你
[18:02] 这种感觉
[18:02] 大家应该能明白这个意思吧
[18:04] 然后它没有缘
[18:05] 它没有挫射
[18:05] 挫射效率很低
[18:07] 我一会再回弹弓
[18:08] 我先说完我们的单狗相声
[18:10] 第三张神中神中神中神
[18:12] 真的
[18:14] 第三张神中神中神中神
[18:15] 游戏比较
[18:16] 我觉得超级强
[18:17] 而且是
[18:18] 我不知道是我的错觉也好
[18:20] 大家可以在互相讨论一下
[18:21] 我怎么觉得游戏比较闪电突破
[18:23] 比别人好触发呢
[18:24] 我不知道大家有没有这种感觉
[18:26] 就同样的闪电突破
[18:27] 就感觉游戏比较更明显
[18:29] 游戏比较更好触发
[18:30] 妈的这个卡是真的强啊
[18:32] 游戏比较
[18:33] 游戏比较原来有个缺点是弧线差
[18:34] 但是这张卡已经完全弥补了
[18:36] 这个问题了
[18:37] 他真的好猛啊
[18:38] 这个卡
[18:39] 但是有问题在他
[18:40] 我觉得打中锋
[18:41] 或者放在中轴线比较厉害
[18:43] 他真的好强啊
[18:44] 包括那个马年的
[18:45] 他唯一的话
[18:46] 就是有个缺点
[18:47] 也不能叫缺点就是马年卡有替代
[18:49] 就是导致这张卡的需求量
[18:51] 不是那么大
[18:51] 再加上户口是真的很烂
[18:53] 户口是真的很烂
[18:56] 所以在但是从手感进攻能力
[18:58] 再包括我自己防守的压力来说
[19:00] 我对于对面的这个游戏比较是真的很头疼
[19:02] 我不知道大家有没有这种感觉
[19:04] 极其难防守这个卡
[19:05] 是的极难防
[19:06] 所以我给到他第三张神中神中神中卡
[19:09] 真的非常强
[19:10] 可以买
[19:10] 而且他能力值高
[19:12] 能力值非常高
[19:13] 136
[19:14] 就是基本上保证
[19:15] 未来一段时间假如要淘汰泳河的时候
[19:17] 他也是最后一批淘汰的人
[19:19] 非常好
[19:20] 李杰卡尔德是第四张第五张神中神中神中卡
[19:23] 这个卡
[19:24] 我个人的优先级是比为挨拉高的
[19:26] 他没有任何问题
[19:28] 除了四五
[19:29] 但是四五对于后腰来说不是问题
[19:31] 哎
[19:31] 他真的好强
[19:32] 而且他打中后位也贼屌
[19:34] 就这个卡是真的强
[19:35] 我靠了李杰卡尔德
[19:37] 等一下
[19:41] 李杰卡尔德真的具强
[19:44] 防守又快又猛
[19:46] 就他有点像卡塞米罗加加那个谁
[19:48] 卡塞米罗加那个加那个佩玉特
[19:50] 他真的强这个李杰
[19:52] 而且这个李杰设文也贼强
[19:54] 就是没短板
[19:55] 防守也强
[19:56] 进攻也强
[19:56] 妈的也能打很多位置
[19:58] 中场也能打
[19:58] 后腰也能打
[19:59] 中后面也能打
[19:59] 他真的好
[20:01] 你说他不如罗德里我绝对不认
[20:03] 罗德里是有巨大的毛病
[20:04] 就是罗德里笨
[20:06] 李杰绝对必罗德里要灵活
[20:07] 这一点我绝对绝对是要反驳一下你的
[20:09] 当然只是我个人建议
[20:10] 希望你不要生气
[20:11] 但是我觉得用罗德里
[20:12] 除非你就永恒罗德
[20:13] 我觉得罗德完全比不上他
[20:15] 完全没法碰瓷
[20:21] OK
[20:22] 来了第六章神宗神宗神宗卡
[20:25] 我觉得他比神宗神宗神宗卡
[20:26] 应该大家会有所了解
[20:28] 但是他有一个缺点
[20:29] 其实这张卡的对抗一般
[20:30] 这张卡真的对抗一般
[20:32] 兄弟们
[20:32] 这张卡真的对抗一般
[20:33] 但除了对抗一般
[20:34] 由于韩福亲儿子亚洲一哥
[20:36] 亚洲零点精靴
[20:38] 然后日常好用
[20:40] AI好用的情况下
[20:41] 我真的没有办法给他不好的评价
[20:43] 他真的很强
[20:44] 所以是神宗神宗神宗神第六章
[20:46] 好吧
[20:46] 这张卡就是唯一就是渗透者
[20:48] 如果是渗透家小手
[20:49] 将是无敌的存在
[20:50] 还是差那么一点点
[20:51] 但是没有毛病
[20:51] 这个卡我觉得不用说了
[20:53] 真的是自带精磋吧
[20:54] 真的自带精磋属性
[20:56] 这个卡确实强
[20:58] 然后接下来这张卡
[20:59] 我对德罗巴这张卡的评价
[21:01] 只是就是缺点优点
