# FConline瓦坎达 永恒评述直播切片 下期20:30 第2章维埃拉/埃辛等
# 抓取转写 2026-07-25

[00:00] 直播见一千多人看过我说单口相声的永恒切片他来了
[02:09] 反正手感是很不错
[02:10] 而且职业比赛也首发
[02:12] 没有什么问题
[02:12] 就反正很厉害
[02:15] 能扛这张不是小贝一直就是很能扛
[02:18] 包括DCB的包括之前的小贝的模型不错的
[02:21] 1米824公斤的普通
[02:22] 他模型真的不错的这个卡
[02:23] 这个卡真的不错
[02:24] 但是你要我给到他三个神
[02:26] 或者四个神我给不到
[02:27] 而且打中场比边路厉害
[02:28] 我个人觉得
[02:30] 来了
[02:31] 这个是我西部中的四神
[02:33] 好吧神中神中神中神
[02:35] 第七位神中神中神中神
[02:36] 甚至可能会给到五神的一张卡
[02:39] 罗布特卡洛斯
[02:42] 就这个卡甚至我会给到五神
[02:44] 就是四神或者五神吧
[02:47] 真的强啊这个小光头
[02:48] 我唱为这个卡是真的太强了
[02:51] 我天呐兄弟们
[02:53] 蠢怪物你知道吗
[02:55] 有防守有对抗有爆破
[02:58] 然后有蝉斗有反强有挫射有传球
[03:01] 有远射就他太强有存在感
[03:04] 太强了这个卡
[03:06] 我我暂时给到五神好吧
[03:08] 第一张五神
[03:10] 跟他妈的强这个卡
[03:12] 这个卡太猛了
[03:14] 这个卡你给他挂金光型助教
[03:15] 他有一个防守助教手折
[03:17] 你给他挂蠢防守就无敌我给你说
[03:20] 太强了这个卡
[03:22] 五神啊不行
[03:24] 哦杰拉德来了
[03:25] 杰拉德在我的顺位就是和和什么
[03:27] 我杰拉德是在什么就是就是
[03:29] 就是蓝帕德杰拉德里面选杰拉德
[03:31] 杰拉德的手感比蓝帕德要好
[03:32] 而且杰拉德打前腰
[03:34] 其实我觉得更舒服一些吧
[03:36] 对于我来说对于我来说
[03:38] 就杰拉德在在在我心目中是更适合打前腰
[03:41] 一点他比蓝帕德更适合打前腰
[03:44] 反而我会觉得蓝帕德更偏向于中场后腰
[03:46] 杰拉德会偏向于中场前腰
[03:48] 我觉得他的手感是非常非常非常好用的
[03:51] 能给到双神
[03:52] 能给到双神
[03:53] 能给到双神
[03:54] 蓝帕德能给到单神
[03:55] 杰拉德我能给到双神
[03:56] 我觉得他非常好用
[03:58] 因为我利物博
[03:59] 英格兰也曾经能带来的时候
[04:00] 也带来过很多回来
[04:01] 我真的觉得这个卡非常好
[04:03] 而且偏进攻
[04:03] 就是偏前场的一张卡
[04:05] 真的很不错的一张卡
[04:08] 这张卡是新进的一张好卡
[04:10] 是渗透者加强之后
[04:11] 大模型由于被动加速起速之后
[04:14] 就完美符合托雷斯手感的一张
[04:16] 一个版本
[04:17] 所以在这个版本
[04:18] 托雷斯绝对是双神起当
[04:20] 非常好用
[04:21] 而且可中可编可前腰
[04:23] 这个卡职业赛场也会拿来打手花
[04:25] 甚至他会把蛇把起到编路去
[04:28] 但是我不太理解
[04:30] 就是我们之前的最后赛还是常规赛
[04:31] 我忘了他会把蛇把起到编路上
[04:33] 这张卡是可以给到双神的
[04:34] 但是这张卡太贵了
[04:35] 性价比极低
[04:37] 132000兆你应该也买不到
[04:39] 就是极低的一张性价比极低
[04:42] 但手感和特别适应这个版本的一张神锋
[04:46] 就是看你愿不愿意花钱了
[04:47] 这个性价比极低
[04:48] 太贵了这个卡
[04:49] 但是户口好
[04:50] 也就是说他这个卡也不太会降价
[04:53] 他不太会降价
[04:54] 但是呢替代他的卡也比较多
[04:56] 就看各位怎么选了
[04:57] 手感进攻非常好
[04:58] 而且永恒和时刻是和时刻
[05:01] 永恒时刻和赛季卡是有截然有质变的
[05:04] 双五角和四五角有质变兄弟们
[05:06] 所以就看各位了啊
[05:07] 就看各位了啊兄弟们
[05:08] 这个卡绝对的好卡
[05:09] 就看你要不要一买了
[05:11] 哎呀这个东西来了
[05:13] 兄弟们
[05:13] 苏雅雷斯不看这个花是绝对是四神
[05:17] 不看花是绝对的四神卡
[05:20] 不看花是绝对四神卡
[05:22] 看花是可能要掉到二神
[05:24] 就这个卡不看花是
[05:26] 手感射门跑位
[05:27] 门前嗅觉
[05:28] 包括反抢能力对抗能力
[05:30] 都是四神级别
[05:32] 但是你看他四星花是
[05:34] 就必须给他降到
[05:36] 真的必须给他降到
[05:37] 因为他这个花是真的会影响一部分
[05:39] 选一部分就是就是玩家的选择
[05:43] 这个我觉得没问题吧
[05:44] 这个我觉得没问题吧
[05:45] 如果你不用花是
[05:46] 他绝对是四神级别的
[05:48] 你不用花是
[05:49] 他绝对是四神级别的
[05:50] 我不是说他好不好用的问题
[05:52] 我现在再说他是人还是神的问题
[05:54] 就是他真的超级强
[05:55] 只要不用花是
[05:56] 他超级强
[05:57] 而且这张卡在职业赛场上大杀四方
[06:01] 职业赛场上大杀四方
[06:03] 所以说这个事就看各位了
[06:06] 还是不用花是绝对四神级别的
[06:08] 就是第八个四神
[06:09] 但是你要结合上花是可能要降的
[06:11] 就是这个意思
[06:12] 兄弟们
[06:13] 就是这个意思
[06:14] 就除去花是没有任何缺点
[06:15] 绝对是神
[06:17] 但是花是你必须得考虑到
[06:19] 范巴斯能
[06:20] 我会给到双神
[06:21] 我会给到双神
[06:22] 挡位会比四神会低一些的
[06:26] 这个卡是少数的那种1米87
[06:29] 或者1米85以上
[06:30] 相对还比较灵活的一张卡
[06:32] 相对来说还是比较灵活的一张卡
[06:35] 无相不扭尾吧
[06:36] 反向扭尾吧
[06:37] 都做不了
[06:38] 那个算了意思
[06:40] 射门无敌
[06:40] 就是你印象中的
[06:42] 那个范巴斯能吗
[06:43] 我觉得这张卡没有惊喜感给我
[06:45] 就他没有惊喜感给我
[06:48] 那就是他很厉害
[06:49] 他射门也很强
[06:50] 投球也很强
[06:50] 但是我在用他之前
[06:51] 或者他在他抽之前
[06:53] 我就知道他
[06:54] 就是没有惊喜感
[06:55] 好吧
[06:55] 兄弟们就是自己看吧
[06:57] 自己看吧
[06:59] 这个卡应该是双神
[07:00] 这个版本的双神
[07:01] 这个版本的双神
[07:03] 这张卡太贵了
[07:05] 但是这张卡对抗
[07:07] 盘带
[07:08] 挫射
[07:09] 远射
[07:10] 远射差一点点
[07:11] 远射确实差一点点
[07:12] 挫射
[07:12] 然后小属加渗透
[07:13] 金特金
[07:14] 金特金保底双
[07:15] 我们叫这个卡
[07:16] 我能给到双神
[07:17] 这个卡真的不错
[07:18] 我再说单口相长
[07:19] 大家稍等一下
[07:20] 这个卡真的不错
[07:21] 也绝对配得上一个手法
[07:24] 不管你是石鹤套
[07:25] 还是黄马套
[07:25] 还是七尔气套
[07:26] 绝对的手法
[07:26] 这个卡很好用
[07:28] 但是比他上一档的
[07:30] 有一个人在他身后
[07:32] 还没有介绍到
[07:33] 大家应该知道是谁吧
[07:34] 顺位绝对比他在前面的
[07:36] 但这个卡很强
[07:38] 卡卡
[07:40] 在我用卡卡之前
[07:41] 我只能给他
[07:42] 给他只能给他一神
[07:45] 就只能给他到一神
[07:46] 但是回想起来
[07:48] 我带打生涯
[07:50] 我现在带打生涯结束了
[07:52] 曾经的带打生涯的
[07:53] 最后一个单子
[07:54] 就是永恒卡卡
[07:56] 带队的跑火打到三千分
[07:58] 他让我非常惊喜的一点
[07:59] 就是这张卡卡好像是有对抗的
[08:02] 好像是有对抗的
[08:03] 但是我不敢太
[08:05] 去堵定的说
[08:05] 他对抗的动作的好
[08:06] 就是他的
[08:07] 以前的感觉就重心很高
[08:09] 现在这个感觉不是很明显
[08:10] 我感觉他是有一点点
[08:12] 就是有对抗的
[08:13] 而且表下频率
[08:14] 射门都不错
[08:16] 这个卡我能给到双神
[08:17] 兄弟们
[08:18] 因为我亲自的用到他打到三千分了
[08:20] 我能给到双神值得买
[08:21] 但是
[08:22] 这哥们
[08:24] 这个
[08:25] 这个
[08:26] 你懂吧
[08:26] 就是
[08:29] 不错
[08:29] 反正是
[08:29] 复格专用吧
[08:31] 复格专用吧
[08:32] 哎
[08:33] 这个卡曾经的四神
[08:34] 现在的双神
[08:35] 为啥呢
[08:37] 就是
[08:38] 图拉姆这张卡去打后腰
[08:39] 有比他好的选择
[08:41] 永恒有比他好的后腰
[08:43] 让他去打中火给你
[08:44] 永恒有比他好的中火位
[08:46] 你知道吧
[08:46] 兄弟们
[08:47] 就这个卡的定位
[08:48] 现在越来越模糊了
[08:50] 所以我就是只能给到他双神
[08:52] 但他还是神
[08:53] 就这个卡的防守
[08:54] 我觉得大家不用担心了
[08:55] 就这个卡是什么
[08:56] 他是能打后腰的
[08:57] 我就以前推荐大家
[08:59] 图拉姆去打后腰
[08:59] 包括WG双五角的
[09:00] 大家都很奇怪一点
[09:02] 就是他一定会想
[09:03] 哎
[09:03] 图拉姆为什么能打后腰
[09:04] 你甚至能用坎特
[09:06] 你都不愿意相信
[09:07] 他能打后腰吗
[09:09] 放边不可能的
[09:09] 你会用35公斤的边后
[09:11] 那你也是厉害
[09:13] 这个卡双神
[09:15] 但是这个卡给我的惊喜
[09:16] 不是那么的大
[09:16] 我原以为这张双五角的这张图拉姆
[09:19] 他是可以做到那种像
[09:21] 就是像那种
[09:22] 反正说很厉害的那种感觉
[09:23] 但是我能感觉他很厉害
[09:24] 但是打不到我心目中四神的级别
[09:27] 不错的一张卡
[09:28] 一步
[09:29] 以为说一
[09:29] 深圳奥迦俱乐部和四川MG俱乐部
[09:32] 特别喜欢用一步
[09:33] 这个我真的不太理解
[09:34] 可能是因为我比较菜的原因
[09:36] 这两个战队的代表人物
[09:38] 一个就是不用代表人物
[09:39] 他们就是大魔王欧文布莱特
[09:41] 不不不
[09:42] 什么布莱特
[09:43] 大魔王欧文
[09:44] 然后四川MG就是余月有鬼
[09:45] 这些
[09:46] 都说我们的直温
[09:47] 这个大家非常喜欢的顶级职业选手
[09:49] 他们特别喜欢用一步
[09:52] 但是我觉得一步是有点笨重的
[09:54] 因为他一米九九十五公斤的一般属性
[09:56] 他比时刻重的二十斤
[09:57] 那十公斤
[09:59] 反正在我心目中
[10:00] 只能说我心目中啊
[10:02] 只能给到单神
[10:04] 只能给到单神
[10:05] 因为这个卡
[10:06] 你要是用不惯
[10:06] 他真的剧笨知道吧
[10:09] 反正就是很吃延迟
[10:11] 我觉得就是如果延迟高
[10:12] 你只能把它当成一个顶头球的
[10:14] 你就没法盘在
[10:14] 一盘在就被断了
[10:16] 你懂我意思吧
[10:16] 就比较考验数
[10:17] 超和延迟
[10:18] 我个人觉得
[10:19] 我个人觉得
[10:20] 但是这个卡就是看个人
[10:21] 好吧
[10:22] 我能给到单神
[10:23] 在我心目中
[10:24] 仅仅是我心目中
[10:25] 我浅浅的认知里面
[10:26] 他给不到双神
[10:31] 五神
[10:32] 这个卡
[10:33] 其他内
[10:34] 我是给五神的卡
[10:35] 也就是第二张五神
[10:36] 第一张五神是卡洛斯
[10:37] 第二张五神是其他内
[10:38] 而且其他内在职业赛场和大众赛场
[10:40] 是频繁选择的一张好卡
[10:42] 在古丽特出之前
[10:43] 他就是第一前遥
[10:44] 我个人认为没有任何问题
[10:46] 我个人认为没有任何问题
[10:48] 好吧
[10:48] 真的没有任何问题
[10:51] 这是我心目中的第二张
[10:53] 其他内
[10:54] 第二张五神卡
[10:55] 这张卡可以打任何位置
[10:57] 除了中后位
[10:57] 后腰能打
[10:58] 进攻型中场能打
[10:59] 前腰能打
[10:59] 隐封能打
[11:00] 甚至能打中锋
[11:01] 边路也能打
[11:02] 边前位也能打
[11:03] 然后手感非常好
[11:05] 好吧
[11:05] 这可能唯一不足的就是
[11:06] 这个领巧的这个金色性了
[11:08] 但是我觉得领巧还会更强
[11:09] 反正在我心目中
[11:10] 他是第一前遥
[11:14] 他是第一前遥
[11:14] 他比图雷好用
[11:15] 图雷太笨
[11:16] 图雷和他比
[11:17] 图雷太笨了
[11:18] 就和他比
[11:19] 他是大魔形能游龙
[11:20] 能找空间
[11:20] 能摆脱
[11:21] 能加速的
[11:22] 非常好的卡
[11:23] 五神啊
[11:23] 五神第二五神
[11:26] 本来吧
[11:27] 我给两神卡
[11:29] 我真的只能给两神卡
[11:30] 就是在我心目中
[11:31] 他打不到其他那个地步
[11:32] 但是他很好用
[11:34] 混子啊
[11:34] 混子就是可能比大罗来说
[11:37] 第一混是大罗
[11:38] 第二混也就是他
[11:38] 可能了
[11:39] 我觉得啊
[11:40] 然后他的手感
[11:41] 会有一些肉
[11:42] 会让大家有的时候
[11:43] 感觉他抓不到点
[11:44] 不知道为什么
[11:46] 就是就是本来吧
[11:47] 会有一种感觉让你
[11:48] 感觉到抓不到点
[11:48] 不知道为什么
[11:49] 但是他确实就是
[11:51] 就是解决问题的能力
[11:52] 硬解能力非常强
[11:52] 投球投球远受的强点
[11:55] 其实都没有什么问题
[11:56] 然后手感我个人觉得偏肉
[11:57] 反正我只能给到双神
[11:59] 我只能给到双神
[12:00] 好吧
[12:02] 四神来了
[12:02] 兄弟们
[12:04] 如果是上个版本
[12:05] 实话会给到五神
[12:06] 这个版本我给到四神
[12:07] 因为五神他不配了
[12:08] 因为上个版本的四神
[12:10] 会变成五神
[12:10] 这个版本上个版本的五神
[12:11] 会降到四神
[12:12] 就这张卡
[12:13] 我认为他一定是四神起呢
[12:16] 就是非常强
[12:17] 这个卡真的非常强
[12:19] 哎呀
[12:19] 我就不知道大家能不能
[12:20] 懂我的这个感觉
[12:21] 而且这个卡
[12:22] 我已经用他打过
[12:23] 曾经带打的那段时间
[12:25] 我用蛇瓦带打对套的
[12:26] 胜率非常高
[12:29] 他真的非常强啊
[12:30] 这个卡
[12:30] 你要好起来就挂深头嘛
[12:33] 我真的觉得他非常强
[12:34] 就是没有任何短板
[12:35] 在我心目中
[12:37] 为什么不给到他五神
[12:38] 是因为原来的四神
[12:39] 变成了五神
[12:40] 好吧
[12:41] 所以这个卡在我心目中
[12:42] 是第九张四神卡
[12:44] 就是贼强这个卡
[12:48] 买不起是你一直就买不起
[12:49] 跟我说这些话没关系
[12:51] 哥
[12:51] 别到时候又喷我
[12:52] 可我其实平常的阐述
[12:54] 但是我能介绍
[12:54] 来了五神来了
[12:55] 兄弟们
[12:56] 欢迎我们的编络第一五神卡
[12:59] I脱O
[13:01] 这是第三张五神卡
[13:03] 好吧
[13:04] 没有任何毛病
[13:05] 这个卡户口好
[13:06] 速度好
[13:07] 传终好
[13:07] 挫折好
[13:08] 投球好
[13:08] 强点好
[13:09] 什么都好
[13:10] 反强也好
[13:10] 又积极
[13:11] 体力也够用
[13:12] 五神卡
[13:13] 他妈的太强了
[13:14] 这个强
[13:14] 这个人太强了
[13:16] 绝对的五神卡
[13:17] 绝对的五神卡
[13:18] 没有任何犹豫
[13:20] I脱O好
[13:20] 因为I脱O的精特性好
[13:22] 如果内德威德能给到渗透者
[13:24] 我可能也会把它放到五神
[13:25] 但内德威德只能是四神
[13:26] 因为双星
[13:27] 因为我真的觉得牌位双星没用
[13:29] 神卡
[13:30] 五神卡
[13:30] 这是第三个五神卡
[13:32] 第一个五神卡
[13:33] 我给的是卡罗斯
[13:33] 第二个五神卡
[13:34] 我给的是其他内第三张五神卡
[13:36] 我给的是爱脱
[13:37] 我觉得眉毛
[13:38] 兄弟们
[13:38] 我觉得眉毛
[13:39] 眉毛
[13:40] 眉毛
[13:41] 好吧
[13:41] 四神卡眉心
[13:43] 四神卡眉心
[13:44] 我个人给不到眉心五神
[13:46] 好吧
[13:46] 我们首先提到眉盒罗
[13:48] 我们不牵扯到游戏之外的东西
[13:50] 也希望大家可以冷静一下
[13:52] 眉心绝对配得上四神卡
[13:53] 尤其是谈带流史
[13:55] 这种游龙流
[13:57] 包括他的挫射
[13:58] 进攻型中场
[13:58] 可以打的位置
[13:59] 前腰隐封
[14:00] 进攻型中场
[14:00] 边前边位
[14:01] 都可以打
[14:01] 包括吴锋正的
[14:02] 这个中锋
[14:03] 他都可以打
[14:04] 但是眉心还是有个小问题
[14:06] 就是他还是怎么说
[14:07] 你大家都懂
[14:08] 就是眉心在游戏里面
[14:09] 一直都是这样子
[14:10] 就是大家都明白是吧
[14:12] 就是在游戏内
[14:13] 他一直都是这样子的
[14:14] 所以我只能给到四神
[14:15] 好吧
[14:16] 这个就根据自己的情况去选
[14:17] 但是他一定是最后一批
[14:19] 如果未来会出更强的时刻
[14:21] 他绝对是最后一批被淘汰的卡
[14:23] 因为双五角宝底
[14:24] 再加上137能力值的
[14:26] 超高能力值
[14:27] 所以你买不亏
[14:29] 好吧
[14:29] 这个卡不错
[14:30] 再让他的听特性是偷烈热
[14:34] 就还是差那么一点点
[14:36] 好吧
[14:36] 兄弟们
[14:37] 压出来
[14:38] 我只能给到双神
[14:39] 不好意思兄弟们
[14:40] 可能大家会怎么样
[14:41] 觉得他首先跟其他内在我心中
[14:43] 绝对不是一个党内的卡
[14:45] 他134能力值居然要37公资
[14:49] 我不明白
[14:50] 为什么工资这么高呢
[14:53] 这个是我第一个不明白的点
[14:55] 第二个我不明白的点就是
[14:57] 这张卡
[14:57] 我调过明白的点
[14:59] 就是这张卡真的有点笨
[15:00] 兄弟们
[15:00] 他真的有点笨
[15:02] 我真的觉得他有点笨
[15:04] 我不知道他能不能
[15:05] 他的对抗没毛病
[15:06] 正面防守没毛病
[15:07] 推进没毛病
[15:07] 远射没毛病
[15:08] 挫射没毛病
[15:08] 他肯定是神卡
[15:09] 四神卡
[15:10] 住手两神卡
[15:11] 他达不到四神两神卡
[15:12] 但是他有两个毛病
[15:13] 第一个就是工资高
[15:14] 第二个就是手感极其一
[15:16] 在我心目中和坎通那是一个手感
[15:18] 你知道吗
[15:20] 然后呢
[15:20] 他又贼贵
[15:21] 你知道吗
[15:21] 我就不明白为什么这么贵了
[15:23] 134能力值
[15:24] 37超高工资
[15:26] 然后3500兆
[15:29] 但是亚圖雷
[15:30] 他不是没有替代这样
[15:31] 他时刻他也双五角
[15:34] 对吧
[15:34] 我真的不太理解这个卡
[15:35] 为什么会这么贵
[15:37] 然后他是
[15:38] 人家时刻是138能力值
[15:40] 然后是代清出送
[15:41] 你是134能力值37公资
[15:44] 代托贴地产
[15:45] 我觉得肯定猛
[15:47] 肯定还是神的级别
[15:48] 但是只能给到双神
[15:49] 好吧
[15:50] 来了
[15:52] 这个版本
[15:53] 第四位
[15:55] 五神卡
[15:59] 买不起的罗尼老师
[16:02] 没毛病吧
[16:04] 刚刚蛇瓦为什么给四神
[16:05] 就是因为五神卡在这
[16:08] 那蛇瓦只能给到四神
[16:10] 这张卡在这个版本简直翻神
[16:13] 我给大家讲春季赛和夏季赛
[16:15] 我都解说了
[16:16] 春季赛谁拿C罗
[16:18] 就是所有人职业俱乐部
[16:19] 都会第一手拿C罗
[16:21] 真的啊
[16:22] 都会第一手拿C罗
[16:23] 但是在夏季赛
[16:25] 第一手拿的是大罗
[16:27] 而且大罗在这个版本
[16:28] 渗透者翻红翻强之后
[16:30] 非常强
[16:31] 我考又能混又能跑拉不住社门
[16:33] 都没有任何问题
[16:34] 而且还卡发了编路的打法
[16:36] 就是大罗这样卡
[16:37] 拉编给编后卫制造的压力
[16:39] 非常大
[16:39] 你可以说大罗投球不好
[16:41] 但是你把大罗放在编路
[16:42] 你还能说他后点投球不好吗
[16:44] 就这个卡就是五神卡
[16:45] 没有任何毛病
[16:46] 能买就买
[16:47] 这就是富哥们富贵哥专项
[16:48] 好吧
[16:49] 就是拉编甚至会更强
[16:53] 第五张五神卡来了
[16:55] 就是我们的亨利大地
[16:59] 同样的道理
[17:00] 因为渗透者
[17:01] 而将自己的顺位无限提高的男人
[17:04] 亨利大地
[17:06] 好吧
[17:06] 这个卡我觉得没啥说的
[17:08] 他以前是大模型
[17:09] 可能体现不出来
[17:10] 将近160的速度
[17:11] 但是渗透者被动加速之后
[17:13] 哥们跑起来了
[17:14] 你就再也摸不着他了
[17:16] 对吧
[17:16] 兄弟们没说错吧
[17:17] 之前可能觉得他一米八八跑不起来
[17:19] 但是渗透者被动加速之后
[17:20] 你就再看不到他了
[17:21] 他就已经跑到前面去了
[17:22] 而且又高又快又壮
[17:23] 还有投球
[17:24] 还有挫射就不说了
[17:26] 对吧
[17:26] 远射
[17:26] 还有背身能力
[17:28] 这是我心目中第五张五神卡
[17:33] 哦
[17:34] 那马
[17:34] 首先第一个必须承认我没有用过
[17:36] 因为那马是在我
[17:38] 带打生涯结束之后出的卡
[17:40] 我没有办法上号
[17:41] 因为一上号就要被取报
[17:43] 但是我只能评价就是这张卡
[17:45] 你就不用看他永恒
[17:46] 我知道他平衡低
[17:48] 他就是给160的平衡
[17:49] 他也扛不住人
[17:50] 应该是这样的
[17:51] 他的定位就是这样
[17:52] 所以我只能给他双神
[17:53] 再加上他的价格
[17:54] 拍离谱了
[17:56] 你五千兆
[17:58] 就是双神卡
[17:59] 然后边路是很强
[18:00] 然后非常灵活
[18:01] 游龙盘带非常强
[18:02] 但是不能对抗
[18:03] 基本上不能对抗
[18:04] 然后五千兆
[18:05] 我真的不理解
[18:06] 为什么会这么贵
[18:07] 但是他金特性绝对特别好
[18:09] 渗透者配小属边路
[18:10] 第一金特性
[18:11] 就是非常强非常强非常强
[18:13] 两神卡达不到四是
[18:15] 两神卡
[18:17] 好了
[18:21] 第六张
[18:23] 五神卡
[18:24] 全体起立
[18:26] 克里斯蒂娅罗
[18:28] 在游戏里面
[18:28] 仅仅在游戏里面
[18:30] 第六张五神卡
[18:32] 出现了
[18:32] 就是我们的克里斯蒂娅罗
[18:34] 或者说在游戏里面
[18:36] 任何一个版本
[18:37] 都不会削弱斯里罗的
[18:39] 兄弟们
[18:39] 我觉得我没有说错吧
[18:40] 在任何一个版本
[18:42] 斯里罗都不可能被削弱
[18:44] 不管是渗透者版本
[18:45] 偷虑者版本
[18:46] 林桥版本
[18:47] 还是未来的空中
[18:48] 堡垒版本
[18:48] 有可能会产生的
[18:49] 任何一个版本
[18:50] 包括什么可能之后的
[18:52] 金磋射版本
[18:53] 金游龙版本
[18:54] 它都不会被削弱
[18:55] 这个卡就是这么强
[18:57] 这是最后一张五神卡
[18:58] 我不给六神了
[18:59] 给六神就有问题了
[19:00] 但是大罗和斯里罗确实很强
[19:03] 之前在渗透者加强之前
[19:05] 大罗是明显不如斯里罗厉害的
[19:08] 但是在这个版本
[19:09] 大罗现在和斯里罗是平起平坐
[19:11] 甚至有一些些反超
[19:13] 这是实话
[19:14] 咱不能无脑吹
[19:14] 兄弟们
[19:15] 咱不能无脑吹
[19:16] 大罗在渗透者这个版本
[19:17] 是有隐隐超过斯里罗的这种
[19:20] 这种概念和势头的
[19:22] 但是不影响它是五神卡
[19:25] 所以说今天的永恒
[19:27] 我说了一个小时
[19:28] 我个人觉得真的是非常理性了
[19:31] 我把所有的理由
[19:32] 我能想到的说他好的理由
[19:34] 说他不好的理由
[19:35] 我都奴隶的非常清楚
[19:37] 希望能帮助到大家选择
[19:39] 但是以上都只代表
[19:40] 瓦肯达个人言论
[19:42] 好吧
[19:43] 个人言论
[19:44] 不代表没有任何权威信
[19:46] 也不代表任何
[19:47] 就是只是个人的一个评价
[19:50] 好吧
[19:51] 希望能帮助到各位
[19:52] 好吧
[19:53] 然后再趁大家人这么多的情况下
[19:55] 我生命两个点
[19:56] 第一个点
[19:57] 我从官方不让带打之后
[19:59] 我绝不会带打
[20:00] 第二个点
[20:01] 就是大家任何一个
[20:04] 不管是KD的
[20:06] 还是别的战队的交易卡
[20:08] 我都是免费担保
[20:10] 只要你私信我
[20:11] 我们加了相对应的方式
[20:13] 我们拉群
[20:13] 我都是免费担保
[20:15] 我一分钱不可能收的
[20:16] 而且我已经持续了五年了
[20:18] 第三点就是
[20:19] 如果想加KD战队的
[20:20] 我们开了五队
[20:21] 大家改名字
[20:22] 不要骂人
[20:23] 申请加入就可以了
[20:24] 好吧
[20:26] 好累
[20:27] 时刻我都不敢讲了
[20:28] 时刻太多了
