# FConline瓦坎达 永恒评述直播切片 上期18:07 章节:吉鲁/古蒂/菲尔米诺/马赫雷斯/萨内蒂?/马尔基尼奥斯/希勒/卡恩/里瓦尔多/法布雷加斯/萨内蒂/卡纳瓦罗/欧文/罗伊斯/伊涅斯塔/劳尔/范佩西
# 抓取转写 2026-07-25

[00:00] 永恒切片上季他来了
[01:24] 这个卡的
[01:25] 唯一缺点是射门力量
[01:27] 就是远射
[01:28] 我没记错的话
[01:29] 这个卡是远射有问题
[01:30] 但是1米8176
[01:32] 在家偷猎者的双五角
[01:33] 再挂一个小手
[01:34] 也好渗透也好
[01:35] 这个卡能救的
[01:36] 我个人觉得手感不错
[01:37] 用我这老卡我都用我
[01:38] 我觉得挺好的一张卡
[01:39] 但是你要买这张卡
[01:40] 你必须得往6卡7卡去合
[01:42] 5卡肯定是不够的
[01:43] 好吧
[01:44] 就是6 7卡去合
[01:46] 5卡肯定是不够的
[01:47] 5卡是133
[01:48] 你觉得这卡能够用吗
[01:49] 不可能6卡都够
[01:50] 其实7卡起用
[01:51] 这个卡其实是一个
[01:53] 能救的卡
[01:54] 接下来马赫雷斯
[01:55] 我对他的评价非常高
[01:57] 这张卡
[01:58] 我对他的评价是非常高的
[01:59] 我都是有理由的
[02:00] 第一他绝对不是
[02:01] 进入不到我个人的
[02:03] 下水道行列中
[02:04] 为什么
[02:05] 他有他自己独特
[02:06] 很明显的进攻优势
[02:07] 就是他的弧线非常强
[02:09] 他不是跑风
[02:10] 他也不是指点
[02:11] 就是综合型
[02:12] 综合型
[02:13] 懂我意思吗
[02:14] 他不是纯指点
[02:15] 他也不算跑风
[02:16] 我们说到马赫雷斯
[02:17] 这张卡他就自己独特的特点
[02:18] 他的弧线射门是非常强的
[02:20] 内切一角以及传终
[02:21] 非常厉害
[02:22] 必不必入
[02:23] 我倒觉得
[02:24] 这个看个人
[02:25] 然后他的金特性
[02:26] 给的非常好
[02:27] 起码是符合这个版本的
[02:28] 小丑再加渗透者
[02:30] 是边路天花板
[02:31] 天花板级别的金特性
[02:33] 所以这个卡
[02:34] 我个人认为
[02:35] 他绝对不是下水道
[02:36] 但是他用非常明显的缺点
[02:37] 这个卡没有对抗
[02:38] 对抗非常差
[02:40] 也就是一碰就倒
[02:41] 基本上可以说是
[02:42] 左脚音系列
[02:43] 但是应该比音系列
[02:44] 对抗要好一些的
[02:45] 我对他的评价还是比较高的
[02:47] 真的
[02:48] 在这个挡位
[02:49] 就是他能一直不高的挡位
[02:50] 我对他的评价是比较高
[02:51] 音系列这个卡
[02:52] 其实我对他的评价比较高
[02:54] 他的缺点大家都了解
[02:55] 对抗奇差不能碰
[02:57] 斗式边后位
[02:59] 对于他来说
[03:00] 就是降维打击
[03:01] 我一点都没夸张
[03:02] 但凡正常的斗式边后位
[03:04] 一拉球就丢
[03:05] 一拉球就丢
[03:06] 所以说如果你对位是
[03:07] 警车边后位就还好
[03:09] 如果是斗式边后位
[03:10] 他很费劲的
[03:11] 但是他的优点也很明显
[03:12] 就是他的射门
[03:13] 脚头很硬
[03:14] 他的脚很硬
[03:15] 他的挫射很硬
[03:16] 他的绿射也强
[03:17] 他的圆射也不差
[03:18] 纳络斯我觉得能买
[03:19] 而且他的精特性非常好
[03:21] 精特性是边路
[03:22] 独一党的渗透
[03:23] 再加小丑
[03:24] 如果你挂其他的也OK的
[03:25] 总的来说
[03:26] 这张卡我对他的评价
[03:27] 也是比较高的
[03:28] 只如果你用他
[03:29] 肯定是6卡起
[03:30] 起
[03:31] 要绕着人打
[03:32] 就是躲避流
[03:33] 你不能带硬碰硬的
[03:35] 好吧
[03:36] 自己根据情况选拔
[03:37] 不差
[03:38] 马基这个卡我确实没用过
[03:39] 但是我想评价一下
[03:40] 第一个
[03:41] 我想评价的第一点就是
[03:43] 我个人认为
[03:44] 风度中后位的上限
[03:45] 是非常高的
[03:46] 地表最强163
[03:47] 马基他的风度上限
[03:49] 是不错的
[03:50] 然后职业选择
[03:52] 职业中后位的第一选择
[03:53] 你想象不到是斗士
[03:55] 所以大家可以参考一下
[03:56] 职业联赛
[03:57] 因为我全程解说的
[03:58] 你可以上斗士加风度
[04:00] 如果手操差一些防身后
[04:02] 那就是渗位者加风度
[04:06] 然后
[04:07] 然后再说一下职业比赛中
[04:09] 特别喜欢挨个子中后位
[04:10] 所以说
[04:11] 如果之后的职业比赛
[04:12] 我个人觉得这张卡
[04:13] 如果工资允许的话
[04:14] 他一定会上手发的
[04:15] 所以总体来说
[04:16] 这张卡应该还可以
[04:17] 真的
[04:18] 应该还可以
[04:19] 因为我没有用过
[04:20] 所以我只是个人的一个意想
[04:21] 就应该还可以
[04:22] 不差
[04:23] 绝对不是下水道
[04:24] 或者说放在职业比赛
[04:25] 赛场上应该会很强
[04:27] 阿兰希勒
[04:28] 这个我觉得
[04:29] 相信很多人都会问我
[04:30] 首先这张卡集卡启用的
[04:31] 五卡启用足够了
[04:32] 但是六卡最好
[04:33] 因为六卡双速
[04:34] 可以无限接近于150
[04:35] 集训完之后
[04:36] 然后加传奇对套
[04:38] 这149
[04:39] 但是这个卡
[04:40] 我个人认为
[04:41] 不是下水道
[04:42] 但是他也没有多么厉害
[04:44] 他有个极大的问题就是
[04:45] 他的射门力量过大
[04:46] 单刀的时候容易踢飞球
[04:48] 第二个就是他盘带不好
[04:49] 球离脚比较远
[04:51] 所以说这个
[04:52] 看大家的情况
[04:53] 但是他有一个
[04:54] 两个最好的优点
[04:55] 第一个他射门真的具强
[04:57] 对于哪一类兄弟们
[04:58] 比较简单呢
[04:59] 就是说你不喜欢游龙
[05:01] 你喜欢找到空间
[05:02] 就干的人
[05:03] 反正他不禁
[05:04] 至少拿一个脚球
[05:05] 他是有自己独特的优点
[05:07] 射门真的具强
[05:08] 第二个
[05:09] 就是他的精特性给的好
[05:11] 偷劣者出使精特性
[05:12] 你可以搭配小丑
[05:13] 去主统摆脱
[05:14] 也可以搭配渗透者去被动加速
[05:16] 也可以搭配0巧去顶投球
[05:18] 或者是用的这个空中保里
[05:20] 各有各的好处
[05:21] 所以我觉得他不是下水道
[05:22] 但是他上不了台面
[05:23] 但是对于中课或者小课
[05:25] 唯一的一个便宜永恒买
[05:27] 科医买
[05:28] 不如凯恩 完全不如凯恩
[05:29] 但是你懂我意思吗
[05:30] 这个定位就在这
[05:31] 接力你就是你给他上精特性
[05:34] 就很难受
[05:35] 你给他上风堵
[05:36] 你回追的时候
[05:37] 你就得需要转身
[05:38] 你需要手控他 掌控他
[05:39] 如果你给他放这个
[05:41] 给他放这个就是
[05:43] 回追那个捍卫者的话
[05:44] 你封堵就少一截
[05:46] 然后这个卡必须6卡起
[05:47] 非常笨
[05:48] 好吧
[05:49] 然后凯恩这个
[05:50] 我不太好评价
[05:51] 门家我没有用过
[05:52] 但是比较厉害
[05:53] 应该是比较厉害的
[05:54] 哈维在我这边的
[05:55] 定位是不如小白
[05:56] 然后就是平平无奇
[05:59] 不做好也不做坏
[06:01] 就是有就用
[06:02] 还是比较厉害的
[06:03] 然后没有
[06:04] 也没有必要特意去买
[06:06] 我个人是这么认为的
[06:07] 然后这个卡也能拉边
[06:09] 为什么我觉得不如小白
[06:10] 因为小白是双五角拉边
[06:11] 他们两个非常像
[06:12] 所以我建议巴萨
[06:13] 佩德里 哈维和小白
[06:15] 选一张就可以
[06:16] 不用上两张上两张
[06:18] 你可能灵活性传球
[06:19] 和进攻是有保障的
[06:20] 但是你防守对抗
[06:21] 就没保障了
[06:22] 所以是巴萨我建议
[06:23] 上一张佩德里小白和哈维
[06:25] 选一张就够了
[06:27] 李瓦尔多
[06:28] 这个我觉得相信你
[06:30] 就是看过我直播的
[06:32] 我对于五三角一律不做好
[06:34] 不过这个也确实是大众比赛
[06:36] 和职业赛的一个常规特征
[06:38] 我没有说错
[06:40] 五三角是肯定
[06:41] 上不了比赛的
[06:42] 没有限制的情况下
[06:43] 除非他有限制
[06:44] 但是这张卡的
[06:46] 但是我只能说
[06:47] 五三角的特点是非常明显
[06:48] 他们的顺足
[06:49] 甚至可以给到你六角的感觉
[06:51] 别的卡可能是五五角
[06:52] 但他可能是六三角
[06:53] 这个看个人
[06:54] 其实他的模型也不错
[06:55] 金特性也不错
[06:56] 就是五三角里面算好的了
[06:58] 但是这个自己好
[06:59] 就是你这么贵的卡
[07:00] 不便宜的一张卡
[07:01] 就是你将近700绕的卡
[07:03] 然后你要去买一张
[07:04] 五三角的卡
[07:06] 我个人觉得不太好
[07:07] 但是你要有就可以用
[07:08] 但是我建议
[07:09] 不要打前腰
[07:10] 你就拉边就可以了
[07:12] 就拉边的三角
[07:13] 还是可以传中的
[07:14] 但是你打前腰
[07:15] 你前后左右
[07:16] 面对的对手
[07:17] 和你要传球的次数
[07:18] 就太多了
[07:19] 所以我不建议他去打前腰
[07:21] 你想用拉边可以
[07:23] 好吧
[07:24] 前腰和后腰是两码之二五三角
[07:26] 你听我说
[07:27] 如果你愿意听的话
[07:28] 小法 来了
[07:29] 这张卡在我心目中
[07:30] 是做好的一张卡
[07:31] 这是新银老师吗
[07:35] 这张卡在我心目中
[07:36] 是做好的一张卡
[07:37] 同样他的顺位
[07:38] 是上不了台面的
[07:39] 但是这个卡不差
[07:41] 我真的不觉得他差
[07:43] 他不是下水的
[07:44] 而且他33工资
[07:45] 他工资很低
[07:46] 然后这张卡的模型不错
[07:48] 是可以客串进攻型中场
[07:49] 可以客串前腰和客串后腰的
[07:51] 但是最适合他的位置
[07:52] 是进攻型中场
[07:53] 这卡我专门用我真的不差
[07:55] 他的射门特别好
[07:56] 而且防守也不错
[07:57] 然后进攻的话
[07:58] 你可以戴贴地斩
[07:59] 防守的话可以戴斗射和破坏肉
[08:00] 然后后腰
[08:01] 我不建议大家用那个风度
[08:03] 所以我觉得这个卡
[08:04] 我个人是做好的不错
[08:06] 但是上不了台面
[08:08] 但是不错
[08:09] 就是他不是会永远放在你
[08:10] 下水道里的卡
[08:11] 尤其是工资有限
[08:12] 想组三永恒家
[08:13] 不同对套的
[08:14] 兄弟们这个卡可以关注
[08:16] 来了
[08:17] 哈维萨内地在我心目中
[08:18] 在后腰这个位置是神
[08:20] 但是神之上还有神中神
[08:22] 还有神中神中神啊
[08:23] 这个卡后腰非常强
[08:25] 他的存在感极强
[08:27] 我专门试验过这张卡
[08:28] 在之前还能带打的时候
[08:30] 他是给我意想不到的一种感觉
[08:32] 而且他和任何一张卡区别都很大
[08:34] 比如说你手里的时刻
[08:36] 三内地
[08:37] 比如说你的手里的时刻
[08:39] 或者你自己除了13卡的赛季卡
[08:41] 比如11卡12卡和这张卡
[08:42] 打后腰的效果完全不一样
[08:44] 这张卡非常强
[08:46] 但是他有缺点
[08:47] 就是他的弧线不行
[08:48] 也就是说你用他站在弧底
[08:49] 想接一个2点球
[08:50] 打一个弧线ZD
[08:51] 只能说别人能进的他都能进
[08:53] 别人进不了的他可能
[08:55] 就是别的高弧线的能进的他进不了
[08:58] 但是别的弧线差不多的能进的他也能进
[09:00] 就这么个回事
[09:01] 绝对的防守非常非常突出的一名
[09:03] 存在感极强的篮截跑动型的后腰
[09:05] 可以买
[09:07] 然后卡纳瓦罗
[09:08] 我说我说句实在话
[09:09] 这张卡是能用的
[09:11] 因为之前的卡纳瓦罗
[09:12] 特点不明显
[09:13] 又矮
[09:14] 工资又高
[09:15] 还不便宜
[09:16] 速度也起不来
[09:17] 但是这张卡说实话
[09:18] 速度还是可以的
[09:19] 但是我觉得
[09:20] 把工资放给他
[09:21] 36工资不值
[09:22] 因为他的投球
[09:23] 值得是他的短板
[09:25] 因为他但凡是1米80
[09:26] 咱都当土拉姆和孔德用了
[09:28] 但是1米76一个问题
[09:30] 是空中跳起来的对抗
[09:31] 他是站不住位置的
[09:32] 大家明白吧
[09:33] 你别往跳太多高
[09:35] 比如说你和你
[09:37] 就是姑娘在玩游戏的时候
[09:38] 你姑娘跳起来
[09:39] 你推他一把
[09:40] 你姑娘他就偏了
[09:41] 就偏离弹道的
[09:42] 他是能跳起来
[09:43] 但是一下就被推走了
[09:44] 所以他在
[09:45] 抢占防守位置上
[09:46] 是极其吃亏的
[09:48] 但是他地面防守很强
[09:49] 这样卡能用的原因
[09:50] 是速度给到位了
[09:51] 所以在我心目中
[09:52] 是不做好的一张卡
[09:53] 欧文
[09:54] 这个卡我没有用过
[09:55] 但是欧文绝对可以买
[09:57] 首先欧文1米73
[09:58] 70公斤
[09:59] 45角的普通
[10:00] 是保证他有一定对抗的
[10:01] 然后这张卡建议大家打边路
[10:04] 但是他打边路没有传中
[10:06] 所以就是那些爆破形边
[10:08] 或者是双中锋
[10:09] 如果是单中锋的话
[10:10] 他有点拿不住球
[10:11] 单中锋他会去
[10:12] 面对对面的双后腰
[10:13] 或者是双中位
[10:16] 所以这个卡我目前是觉得不错
[10:18] 但是还没出
[10:19] 可以关注
[10:20] 也可以去买了
[10:21] 尤其是慢连
[10:23] 是有慢连吗
[10:24] 没记错吧
[10:25] 尤其是慢连
[10:26] 为什么因为
[10:27] 慢连渗透就边缝太少了
[10:29] 这个卡慢连可以关注
[10:31] 感谢好家伙
[10:32] 我太透露了
[10:33] 明白吧
[10:34] 尤其是慢连可以关注
[10:35] 这张卡
[10:36] 如果是英格兰
[10:37] 其他的我倒觉得
[10:38] 买不买都无所谓
[10:40] 因为慢连渗透太少了
[10:42] 可以关注
[10:43] 耶罗这个卡在我心目中
[10:44] 其实和谁一样
[10:45] 和吉耶利尼一样
[10:46] 但是吉耶利尼没他好用
[10:48] 这个卡是OK的
[10:49] 六普轮不上他上
[10:50] 真的轮不上
[10:51] 真的
[10:52] 因为六普还有小丑迪亚斯
[10:53] 渗透者萨拉赫
[10:54] 渗透者马内
[10:55] 我个人觉得
[10:56] 应该是不太能轮得上
[10:58] 但是你如果有的话也行
[10:59] 因为他工资不高
[11:00] 就保了他的下限了
[11:02] 这样啊
[11:03] 和吉耶利尼一个党
[11:04] 但是吉耶利尼没他好用
[11:06] 这个卡真得六卡起
[11:07] 反正黄马的各位
[11:08] 我觉得可以用
[11:09] 可以用破坏者加
[11:11] 对于这种转身相对比较慢的
[11:13] 我个人建议
[11:14] 还是别用封堵了
[11:15] 你还是用这个捍卫者
[11:16] 老老实实的加强一下
[11:17] 他的被动加速
[11:18] 比较好
[11:19] 好吧
[11:20] 马连马内很好用
[11:21] 罗伊斯这个卡好用
[11:22] 真的好用
[11:23] 罗伊斯真的好用
[11:24] 兄弟们
[11:25] 罗伊斯我也没有想到
[11:26] 为什么他能力值这么低
[11:27] 但是这个卡真的好用
[11:28] 这个卡真的好用
[11:30] 首先这个1米8173公斤的
[11:32] 瘦落双五角就保证
[11:33] 他的边路有速度有爆发
[11:35] 他爆发一般就是有速度
[11:36] 能起速
[11:37] 且有对抗
[11:38] 而且渗透了加小丑的
[11:39] 顶级边缝技巧
[11:41] 然后关键属性给的都很好
[11:42] 只不过大家得六卡起
[11:44] 只不过得六卡起
[11:45] 他没有爆发
[11:46] 确实没有爆发
[11:47] 但是手感确实不错
[11:48] 而且他可以
[11:49] 穿前腰去打兄弟们
[11:50] 前腰挂小丑
[11:51] 可以去打前腰
[11:52] 这个卡真的不错手感
[11:53] 就是能力值太低了
[11:54] 我也不知道为什么
[11:55] 给这么低能力值
[11:56] 给他高一点就好了
[11:57] 六卡起最好是从起卡起
[11:59] 因为斯塔在我心目中是和哈维一个等
[12:01] 但是在我心目中是
[12:02] 做好的一张卡
[12:03] 这个卡手感真的不错
[12:04] 而且比较壮
[12:05] 我也不知道为什么他
[12:06] 68公斤对抗真的不差
[12:07] 而且可以拉边
[12:08] 内切传中
[12:09] 拉边传球
[12:10] 都非常好的一张卡
[12:11] 真的很不错的一张卡
[12:13] 在我心目中极其做好
[12:14] 绝对不是下水道
[12:15] 但你要说他多么厉害呢
[12:17] 应该也没有多么厉害
[12:18] 因为他的短板
[12:19] 还是在于模型对抗上
[12:20] 所以一个卡号
[12:21] 只有一个位置给他
[12:22] 就是进攻型中场
[12:24] 只有进攻型中场
[12:25] 只有一个位置给到他
[12:26] 他只是在他
[12:27] 这个模型的情况下
[12:28] 对抗还是有的
[12:29] 但是你要放在那种
[12:30] 常人如灵
[12:31] 或者是对抗很多
[12:32] 很好的人情况下
[12:33] 他就不行了
[12:34] 对吧
[12:36] 然后老二
[12:37] 这个卡来了
[12:38] 老二是典型的
[12:39] 十只无味
[12:40] 气之可惜的卡
[12:41] 这个卡不能说他好用
[12:42] 也不能说他难用
[12:43] 这个卡
[12:44] 真是有点什么东西
[12:45] 就是什么呢
[12:46] 他首先是
[12:47] 我个人觉得
[12:48] 他是不能打单中锋的
[12:49] 因为他拿不住球
[12:50] 真的拿不住球
[12:51] 第二点
[12:52] 这个卡打边挺厉害
[12:53] 打前腰挺厉害
[12:54] 打双中锋挺厉害
[12:55] 真的兄弟们
[12:56] 但是他有一个好处在于什么呢
[12:58] 他能力值高
[13:00] 这个卡是能力值高
[13:01] 因为大家有的时候
[13:02] 会买一些卡就是
[13:03] 能力值不高
[13:04] 然后可能随时
[13:05] 兵力能力值淘汰的卡
[13:06] 而且他双五角保下线
[13:07] 偷裂者保下线
[13:08] 这个卡真的是就是
[13:10] 不错的一张卡
[13:11] 但是到不了顶级
[13:12] 也到不了神
[13:13] 你懂我意思了
[13:14] 就是这么一个卡
[13:15] 就是想上
[13:16] 你也能上
[13:17] 不上你也没有任何可惜
[13:19] 就是这个卡
[13:20] 8068公斤的受弱
[13:22] 就决定了这张卡
[13:23] 我们拿不住球
[13:24] 他打不了单中锋
[13:25] 双中锋还可以
[13:26] 打配合
[13:27] 范佩希
[13:28] 我还是优着点
[13:29] 因为我感觉今天人比较多
[13:31] 范佩希在我心目中
[13:32] 是一个不太做好的卡
[13:34] 我解释一下
[13:35] 我说他不太做好
[13:36] 都是有理由的
[13:37] 不是拍脑袋说
[13:38] 第一个
[13:39] 1米87的大模型
[13:40] 他只有71公斤的对抗
[13:42] 也就是说
[13:43] 他作为大模型
[13:44] 背身护球的能力
[13:45] 不如其他人
[13:46] 没说错吧
[13:47] 这是第一个问题
[13:48] 第二个问题
[13:49] 范佩希这张卡
[13:50] 双数要接近150能力值
[13:52] 由于他1米87的模型
[13:54] 导致他起诉非常
[13:56] 不是让大家会觉得
[13:57] 像那种小模型
[13:58] 起诉那么快
[13:59] 这也没错吧
[14:00] 所以你得给他挂渗透者
[14:01] 挂渗透者相对来说
[14:02] 要好一点
[14:03] 你但凡挂别人
[14:04] 他就起不了速
[14:05] 我没有
[14:06] 真的 我说实话
[14:07] 你但凡挂小球
[14:08] 这个人跑不起来的
[14:09] 但是他跑起来
[14:10] 也能拉住
[14:11] 因为他对抗强
[14:12] 你懂我意思吗
[14:13] 你像莱奥
[14:14] 像范巴斯腾
[14:15] 像古力特
[14:16] 这种卡
[14:17] 哈兰德都是跑起来拉不住的
[14:18] 因为一个背身
[14:19] 一个C
[14:20] 能把对面的人扛住
[14:21] 他
[14:22] 我们的好哥哥跑起来
[14:23] 他是能拉住的
[14:24] 他的对抗非常长
[14:25] 但是他有优点
[14:26] 他的出射非常强
[14:27] 然后他的逆足
[14:28] 也不是乌角
[14:29] 我个人觉得他逆足
[14:30] 最多一个五次
[14:31] 加乌
[14:32] 特别典型的加乌
[14:33] 我不知道大家有没有
[14:34] 感觉
[14:35] 我觉得大家
[14:36] 如果要喷我
[14:37] 我能接受
[14:38] 但是我是有理有据的
[14:39] 我不知道我说的对不对
[14:40] 因为他的初始
[14:41] 金特金是零小
[14:42] 所以你必须
[14:43] 得在偷劣者
[14:44] 渗透者和小球里面
[14:45] 选一个
[14:46] 你必须得选一个
[14:47] 你要给渗透者
[14:49] 那只能拉边
[14:50] 你要是给
[14:52] 你给小丑
[14:53] 或者是偷劣者
[14:54] 那他就跑不起来
[14:55] 好吧说完了
[14:56] 拖地
[14:57] 这张卡在我心目中
[14:58] 不是下水道
[14:59] 不是下水道
[15:00] 不是下水道
[15:01] 反而他非常强
[15:02] 我知道我们的好哥哥
[15:04] 九哥
[15:05] 可能因为一些原因
[15:06] 我也有所耳闻
[15:07] 他觉得这张卡不好用
[15:08] 我觉得也对
[15:09] 但是我只说
[15:10] 我的观点
[15:11] 这张卡不是下水道
[15:12] 而且这张卡的
[15:13] 双乌角和对抗
[15:14] 非常扎实
[15:15] 贴地点这个卡
[15:16] 贴地点这个金特金
[15:17] 我无法定义
[15:18] 他到底是不是替你级别
[15:19] 这个是有用的
[15:21] 我觉得带前腰这个位置
[15:23] 我觉得非常好用
[15:24] 而且WS
[15:25] 一大粒打黑球
[15:26] 我也用过了
[15:27] 拖地我个人觉得
[15:28] 大家可以入手
[15:29] 金特金
[15:30] 我没办法去说
[15:31] 他到底是好与不好
[15:32] 反正吧
[15:33] 总归比双星那些有用
[15:35] 我个人觉得非常好用
[15:37] 我个人觉得非常好用
[15:39] 我会给他
[15:40] 到就是
[15:41] 比较高的一个顺位
[15:42] 尤其是他能力值
[15:43] 也不低134
[15:44] 我个人觉得不错
[15:45] 只能说我个人不错
[15:46] 我路平了
[15:47] 我会发切片
[15:48] 然后为地骑神来了
[15:49] 兄弟们听我解释
[15:50] 为什么他是神
[15:51] 不是因为我有
[15:52] 第一个在职业比赛中
[15:54] 后防线的首选不是风度
[15:56] 可以理解
[15:57] 因为职业比赛
[15:59] 职业选手的手操
[16:00] 和我们是不一样的
[16:01] 职业比赛的
[16:02] 是后防线首选是斗士
[16:04] 是斗士兄弟们
[16:05] 我没有说错
[16:06] 我作为曾经
[16:07] 解说过职业比赛的兄弟们
[16:08] 而且我作为瓶数席
[16:09] 也采访过职业比赛
[16:11] 职业的球员
[16:12] 我采访过少晨阳
[16:13] 还有广州A9LTG的
[16:17] 他们首选的斗士
[16:18] 所以说这张卡
[16:19] 自带斗士
[16:20] 那你就有选择了
[16:21] 你可以选风度
[16:22] 也可以选警车
[16:24] 就看你怎么选
[16:25] 兄弟们
[16:26] 而且这张卡的
[16:27] 正面对抗和投球
[16:28] 非常厉害
[16:31] 唯一的短板就是
[16:32] 转身烧慢
[16:33] 这个没有任何话说
[16:34] 确实转身烧慢
[16:35] 所以就看你自己
[16:36] 如果是手控球员
[16:37] 比较快的兄弟
[16:38] 你就可以加风度
[16:39] 如果你是手控比较慢的兄弟
[16:42] 你就加警车的被动加速
[16:44] 好吧
[16:45] 这个自己选
[16:46] 但是这张卡的本身质量
[16:47] 非常好用
[16:48] 没有问题
[16:49] 是神卡
[16:50] 后中后卫神卡
[16:52] 坎通娜来了
[16:53] 我优着点说
[16:54] 首先坎通娜没精特性
[16:57] 所有的时刻
[16:58] 永恒里面
[16:59] 只有两张没有精特性
[17:00] 一张是谷弟
[17:01] 一张是坎通娜
[17:02] 这就先掉一个档
[17:03] 没毛病吧
[17:04] 目前起码是掉一个档吧
[17:06] 没毛病吧
[17:07] 第二个
[17:08] 坎通娜的缺点在于
[17:09] 极其之笨
[17:10] 这个卡
[17:11] 1米8889公斤
[17:12] 你知道吗
[17:13] 什么意思
[17:14] 都拉不住
[17:15] 但是他也跑不起来
[17:17] 手感影响非常明显
[17:18] 所以你要是用坎通娜
[17:19] 尤其是这个
[17:21] 慢连
[17:22] 你前面我就不建议你用C罗了
[17:24] 我就不建议你用C罗了
[17:25] 因为这样的话
[17:26] 会影响你的游龙
[17:27] 盘带和主动摆脱的能力
[17:29] 但比如说你前面有点小个子
[17:30] 还是可以配起来可以
[17:31] 但是他有优点
[17:32] 兄弟们
[17:33] 有优点
[17:34] 坎通娜的远射
[17:35] 绿射
[17:36] 以及挫射
[17:37] 投球非常强
[17:38] 实在话说
[17:39] 坎通娜这个卡的远射
[17:40] 绿射
[17:41] 挫射
[17:42] 投球非常强
[17:43] 所以说大家自己选择
[17:44] 我个人觉得他太笨了
[17:46] 这个时刻和永恒的手感
[17:48] 是一模一样
[17:49] 包括马年的
[17:50] 所以自己选择
[17:51] 他可以拉标
[17:52] 但是前提是
[17:53] 你给他挂渗透者
[17:54] 他跑起来拉不住
[17:55] 他的范围系不一样
[17:56] 范围系是跑起来拉得住
[17:57] 他跑起来是真拉不住
[17:58] 你可以给他挂到边路
[17:59] 但是必须带渗透者
[18:00] 就唯一一个自选技能
[18:01] 拉边的话
[18:02] 或者是打前面
[18:03] 你必须给他渗透者
[18:06] 我才好累
