# 我对永恒传奇前锋/前腰的评价，主要根据我个人手感来说的，仅供参考
# BV1aRm7BxEUt | 2025-12-12 | 1016s | play=5953 like=37 fav=8
# desc: -

[00:00] 哈嘍大家好
[05:27] 所以我們就是行第一然後頂級第二
[05:32] 人上人第三
[05:33] NPC第四第五等級是拉完了
[05:36] 所以我把一步是歸到了一個人上人
[05:39] 我認為他連頂級都不算
[05:41] 而德羅巴的話最多也就是算一個頂級
[05:43] 可能比一步還要稍微差一點點
[05:46] 好這就是C羅一步還有德羅巴還有亨利
[05:51] 然後我們再繼續說啊
[05:52] 現在排名第四的梅西梅西這張卡
[05:55] 從這個遊戲出來開始他的模型
[05:59] 我不說他是售貨的矮
[06:00] 他就是專屬這個模型做的就是有問題的
[06:04] 這對梅西球迷真的是一個很大的打擊
[06:06] 就是這張卡你會發現除了梅西的人名
[06:08] 幾乎是沒人用
[06:09] 他是有一個致命缺陷
[06:11] 就是他用起來就給人感覺不好
[06:14] 他和佩德羅和佐拉他的模型都不一樣
[06:16] 梅西是一個專屬模型
[06:17] 但那個專屬模型他沒有做好
[06:19] 永恆也是一樣的
[06:20] 所以我真的不是很建議你用這張卡
[06:22] 但我剛說的中風梅西很多時候就是
[06:25] 很多玩家他也想去打錢要
[06:27] 當你打邊路也是一樣的道理
[06:29] 然後還有什麼呢
[06:31] 我想想啊
[06:32] 再下去蘇亞河本著嘛
[06:34] 這兩卡喜歡的玩家是非常多的
[06:37] 我先來說下我對這兩卡的看法
[06:40] 蘇亞雷斯我覺得他是一個定級
[06:43] 僅次於
[06:44] C羅和亨利不管是打錢要還是中風
[06:47] 而且我認為他
[06:48] 比本著嘛更強
[06:50] 就他的身高和模型
[06:52] 他身高雖然比本著嘛稍微差一點
[06:54] 但他投球一點都不差
[06:56] 而且彈跳很好
[06:57] 最關鍵是蘇亞雷斯這張卡他做的非常寬
[07:00] 他有很強的這種扛人能力
[07:03] 而且他的手感是非常好游龍也很好
[07:05] 雖然他雙數並沒有像亨利那麼出色
[07:07] 所以就是他這個雙數導致
[07:09] 他沒有進入到亨利等級
[07:11] 但是我認為他已經很接近亨了
[07:13] 就如果我在我的手上
[07:15] 沒有C羅和亨利那張卡
[07:17] 我的中路如果有蘇亞
[07:18] 我蘇亞一定是放在最前面的
[07:20] 或者把他放在前面
[07:21] 就是我一定會先去買他
[07:23] 然後其次才是本著嘛
[07:25] 而本著嘛
[07:26] 他的這個價格目前和蘇亞差不多
[07:28] 因為他有一個皇馬套的屬
[07:30] 像是法國套
[07:31] 這兩個套裝也是比較熱門的
[07:33] 所以他這個價格也是比較高的
[07:35] 跟蘇亞差不多
[07:36] 但是這張卡我非要分一個上下
[07:39] 我認為蘇亞更強一些
[07:41] 好我們再往下看
[07:42] 德羅巴剛才說過了
[07:44] 然後就是魯尼勞爾
[07:47] 范佩希
[07:48] 巴喬
[07:49] 還有今天剛出了范尼
[07:50] 包括托迪也是前妖
[07:51] 烏格桑謝斯
[07:53] 這些卡裡面
[07:54] 我們先說一個最大的啊
[07:55] 經常看我直播應該知道
[07:57] 勞爾我是絕對絕對不建議買這張卡
[08:00] 絕對除非你真的是他
[08:02] 頂級人民否則這張卡直接拋棄
[08:04] 他是辣完了
[08:06] 從我的使用角度來說
[08:07] 身體不行
[08:09] 雙數一般
[08:10] 手感一般
[08:11] 外圍遠射
[08:11] 你看他難道150以上
[08:13] 如果你喝到銀卡或者6卡
[08:14] 但他真的就給你
[08:17] 那真的要把你氣死
[08:18] 你知道嗎
[08:19] 真的要把你氣死
[08:21] 這張卡辣完了
[08:22] 我都不想多說他了
[08:23] 要啥啥都沒有
[08:25] 然後就是
[08:26] 魯尼魯尼這卡
[08:27] 他比較壯
[08:29] 很多還是比較喜歡的
[08:30] 但是我認為他的手感真的很一般
[08:32] 就是也有點那種笨拙拙的
[08:34] 我也不知道啥回事
[08:35] 就是可能我自己實際使用體驗
[08:36] 我也不會用這張卡
[08:38] 我覺得魯尼這張卡
[08:39] 在我看來最多是個NPC
[08:41] 肯定是倒不了
[08:42] 就是人上人的
[08:45] 更不要說到頂級
[08:46] 我覺得他就是個NPC
[08:47] 也就是倒數第二檔
[08:49] 然後是巴喬
[08:51] 巴喬這卡我是非常喜歡的
[08:53] 他的游龍搓射都是頂級
[08:55] 而且手感非常順滑
[08:57] 如果把他跟梅希來比
[08:59] 他們俩模型差不多的情況下
[09:01] 他的手感要好很多
[09:02] 他的游龍也會好很多
[09:03] 他手感也會好很多
[09:05] 而且雙屋腳
[09:06] 這張巴喬可能打邊路
[09:07] 大家覺得他的
[09:08] 一個是工資嘛
[09:09] 第二個是他雙數沒那麼快
[09:10] 但他他中路前要這個位置
[09:12] 是非常優秀的
[09:14] 特別你喜歡戴球
[09:15] 然後
[09:16] 他自帶了一個什麼的
[09:19] 林巧之勝
[09:20] 這一點我們精特性放在最後來說
[09:23] 我們先把就是我的使用
[09:24] 實際使用手感先說完了
[09:26] 然後就是範疑
[09:27] 範疑這張卡就不用說了
[09:29] 我可以基本上下個結論了
[09:30] 現在在這個遊戲裡面
[09:32] 如果你是一個永恆中風
[09:33] 或者是時刻中風
[09:34] 你的逆逐還是有四五以下的情況
[09:36] 不是雙五你只有四
[09:39] 哪怕你只有四
[09:40] 他也是一個
[09:41] 蠟玩的角色
[09:43] 就你除了特別喜歡這張卡
[09:45] 否則我都強烈不建議你用
[09:47] 關鍵時刻他的逆逐是
[09:48] 會讓你吐血的
[09:50] 一定的說範疑這張卡
[09:52] 我也是把它歸結為蠟玩了
[09:54] 然後
[09:55] 魯尼剛才說了範佩西
[09:57] 範佩西這張卡
[09:59] 我實際使用下來
[10:00] 他的手感是相當不錯的
[10:02] 因為他的
[10:03] 盤帶算不高
[10:04] 但是控球很高
[10:05] 然後呢
[10:06] 他的射門
[10:07] 包括他的身高
[10:09] 都是很優秀的
[10:10] 而他現在的價格只有35兆
[10:13] 今天因為有一個
[10:14] 我記得我直播手有一個
[10:16] 玩家問了一個問題
[10:17] 就是說他如果有30多兆
[10:18] 他應該買誰
[10:20] 範佩西八橋這些拖地應該買誰
[10:22] 我第一個推薦就是範佩西
[10:24] 就是因為
[10:25] 八橋這張卡
[10:26] 不是所有人都能用得來的
[10:27] 但是範佩西這張卡
[10:29] 我認為他是
[10:30] 可能稍微很低估的
[10:31] 而且
[10:32] 他還有一個很重要的優勢
[10:34] 就是他初始
[10:36] 帶的是靈巧之聖
[10:38] 馬上下個月會多加一些金特性
[10:40] 所有帶靈巧之聖的這些中風
[10:43] 如果
[10:44] 就是你核到銀行以後
[10:45] 你會再多加一個金特性
[10:48] 選擇金火箭
[10:50] 就是我剛才想說的
[10:51] 就是以上的所有這些卡
[10:53] 我們說了手感以後
[10:54] 如果你是自帶靈巧之聖的
[10:57] 那他又要稍微往上
[10:58] 再抬高0.5個等級
[11:00] 比如說範佩西我認為這張卡
[11:03] 嗯
[11:04] 如果算頂級的話
[11:06] 可能稍微差一點
[11:07] 因為我覺得他沒有紓壓好容
[11:09] 但是喜歡他的也可以把它歸位頂級
[11:10] 我們就暫時把它歸位頂級吧
[11:12] 那麼由於他自帶了靈巧之聖
[11:15] 在下個月如果你把它核到銀卡
[11:17] 你可以再加一個金火箭
[11:19] 那麼這張卡就可以再往上提高一點等級
[11:22] 可能頂級再往上一點點
[11:23] 比如說他本身頂級差一點點就頂級
[11:25] 那頂級再往上一點點
[11:26] 那可能就是
[11:27] 嗯
[11:28] 進行夯了對吧
[11:29] 那就是T1.5了
[11:32] 所以我認為這張卡他是很有潛力的
[11:35] 包括後面我們這邊就一起說
[11:36] 包括後面的時刻也是一樣的
[11:39] 就如果他自帶金特性是
[11:41] 頂巧之聖的一個中風
[11:43] 包括邊路
[11:44] 那麼他未來可以加上金火箭的情況下
[11:46] 這兩個金特性
[11:48] 我預測未來就是進攻端
[11:51] 應該說是最有用
[11:52] 因為金火箭這個特性從
[11:54] fc系列出現這個
[11:57] 有位移技能或者加速技能的情況
[12:00] 來看
[12:01] 他就不可能差
[12:02] 幾乎不可能差
[12:04] 所以大家一定要注意
[12:05] 帶初始頂巧之聖的這種中風
[12:07] 就是大家可以盡量去選擇
[12:09] 然後再說脫地啊脫地這卡
[12:11] 我初始用起來還不錯
[12:13] 那他確實也是還行
[12:15] 凡是要比勞爾好
[12:16] 我覺得他也比魯尼更好
[12:18] 跟范佩西比的話投球好像沒有那麼好
[12:21] 身高也沒有那麼優秀
[12:23] 是吧
[12:24] 而且他目前是沒有金特性的
[12:26] 不知道他未來金特性會加個啥
[12:28] 所以我暫時的吧
[12:29] 就把它歸為到一個
[12:31] 中間的一個等級吧
[12:32] 一個人上人吧
[12:34] 對吧
[12:35] 他也不會是NPC
[12:36] 但他也肯定倒不要頂級
[12:38] 然後烏克桑葉斯現在還沒出不知道
[12:40] 暫時咱們目前來說還不知道
[12:42] 然後初始上給了一個偷獵者
[12:44] 還沒用我就不說了
[12:45] 然後其他還可以打中路
[12:46] 飛爾米諾
[12:47] 飛爾米諾這張卡
[12:48] 如果你是7卡的話也可以用
[12:50] 6卡就可能也行吧
[12:52] 但基本上能買永恆的
[12:54] 幾乎都能合到7卡以上
[12:55] 金卡他打中路
[12:57] 編乳都可以特別是中路
[12:58] 這卡是非常不錯的
[13:00] 然後吉魯5四角拉完了
[13:02] 這張卡肯定是拉完
[13:03] 說不定你就算是強行要頂投球
[13:05] 他一個5四角
[13:07] 我還得一句話
[13:08] 只要是你逆逐是4的永恆
[13:10] 我認為他都拉完了
[13:11] 好
[13:11] 然後還有些什麼卡呢
[13:13] 差點忘了一張卡
[13:15] 我最近比較喜歡的
[13:16] 傑拉德
[13:17] 永恆傑拉德這張卡
[13:19] 是給了我一點驚喜的
[13:21] 這卡我以前一直是把它打成了
[13:23] 打後腰和中場的這個位置
[13:26] 然後上次我使用了以後
[13:28] 我發現這張卡他打前腰
[13:29] 真的還挺強
[13:30] 跑上跑下
[13:31] 至少我覺得他比勞爾魯尼都要好
[13:33] 真的
[13:34] 我甚至於在我的手感裡面
[13:36] 他可能能把它歸接到
[13:37] 在前腰的位置
[13:39] 可以上到一個頂級的位置
[13:42] 可能差一點點吧
[13:43] 我還是這個再多使用一點
[13:44] 就他至少是在人上人以上
[13:46] 能不能到頂級看自己
[13:48] 因為他的射門屬性真的很強
[13:50] 而且他的手感
[13:51] 雖然他的銀特性
[13:53] 比時刻差了很多
[13:55] 真的
[13:56] 大家可以自己看
[13:57] 他的銀特性
[13:58] 時刻是又有鐵費又有錯的高手
[14:00] 結果永恆啥都沒有
[14:02] 現在永恆還沒有金特性
[14:03] 但是我目前來看他的手感
[14:05] 我就拋開他金特性不索
[14:06] 這張卡
[14:07] 很好用
[14:08] 真的非常好用
[14:09] 所以我是推薦大家用這張卡的
[14:11] 他現在目前也是一個40兆的價格
[14:13] 打前腰中場後腰完全沒問題
[14:16] 這卡是我之前有點低估的
[14:19] ok
[14:20] 這就是我們
[14:22] 目前
[14:23] 我認為一些可以打中路和前鋒的永恆
[14:27] 我的一個評價
[14:29] 最後總結一下
[14:30] Selor honey一定是行
[14:32] 然後就是蘇亞雷斯本子吧
[14:35] 包括伊布吧
[14:36] 雖然伊布真的很笨
[14:38] 然後在伊布之後
[14:39] 另外一個笨的德羅巴
[14:41] 那就真的就不想再說多了啊
[14:44] 然後就是現在比較低估塔
[14:46] 販配西
[14:46] 然後比較便宜的就是販配西
[14:48] 然後脫地八橋
[14:51] 就這些是中客目前還沒超過40兆的
[14:53] 你可以去考慮的
[14:56] 可以把它做為你的一個中軸線去打造的
[14:58] 不管是前腰還是中風
[14:59] 他都是可以去使用的
[15:01] 然後包括菲爾米諾菲爾米諾
[15:03] 因為是125的卡嗎
[15:05] 就算你是中客
[15:05] 你也有機會去上到金的
[15:07] 就是136去上
[15:09] 因為現在136的電子幾乎都是評價了
[15:12] 好以上就是我對永恆中路的一個看法
[15:16] 最後再次強調一下
[15:18] 這只是我的一個個人分析和個人手感
[15:21] 不代表他是正確的
[15:23] 好吧
[15:24] 好希望大家開卡都能歐一些啊
[15:27] 理性消費
[15:27] 因為這個遊戲大家都知道
[15:30] 玩過的都懂
[15:32] 所以理性消費就完了
[15:33] 就是千萬不要去超過自己的這種限度
[15:36] 不要看到主播啊
[15:38] 各種開土豪的卡
[15:40] 一會又歐了
[15:41] 自己一定要知道啊
[15:42] 這個
[15:43] 很多好卡上是非常難開的
[15:44] 包括合卡也是一樣的
[15:46] 所以希望大家都能快快樂樂的遊戲
[15:50] 不要去做一些超過自己就是
[15:52] 消費能力的一些事情
[15:54] 本身是一個開心的事情
[15:55] 變成一個就是自己天天內耗
[15:57] 好吧
[15:58] peace
[15:59] 再補一條哈
[16:01] 剛剛好像忘了一個一張卡
[16:03] 其他內
[16:04] 其他內這卡
[16:05] 我覺得他使用起來
[16:07] 手感還行吧
[16:08] 因為他的盤帶控球真的很高
[16:10] 但他的工資實在是太高了
[16:12] 38的工資134的卡
[16:15] 有投球
[16:16] 而且他的搓射也很強
[16:18] 身體也不錯
[16:19] 而且在身體如此
[16:21] 就是1米85升高的情況下
[16:23] 他的手感還很好
[16:24] 所以這卡至少是一個頂級了
[16:26] 這卡
[16:26] 但是他的缺點也很明顯38的工資
[16:28] 真的挺高
[16:29] 有這個工資
[16:30] 還有這個價格
[16:32] 那我可以去選擇其他的
[16:34] 包括我剛才說的
[16:35] 可能就是工資更低的
[16:37] 蘇亞雷斯
[16:38] 或者說是更便宜的八橋
[16:40] 拖地範北溪都可以
[16:42] 而且像那個初始金特性也不錯的
[16:43] 他是初始給了一個靈巧致順
[16:46] 那麼他未來也可以
[16:47] 在上到銀卡以後
[16:48] 也去加個金火箭
[16:49] 所以他至少是一個頂級
[16:52] ok 我就補這一條
[16:54] 忘記了其他內
