id	en	cn	ar	de	fr	jp	kr	po	ru	sp	th	tr	zh	vi	id	it	pl	_pkgs
LC_IAP_flashsale_free_draw	Free Draw	免费抽奖	سحب مجاني	Gratis-Ziehung	Tirage gratuit	無料ガチャ	무료 뽑기	Sorteio Grátis	Бесплатный розыгрыш	Sorteo Gratis	สุ่มฟรี	Ücretsiz Çekiliş	免費抽獎	Quay miễn phí	Undian Gratis	Estrazione Gratuita	Darmowe losowanie	FlashSale
LC_IAP_flashsale_grand_prize_progress	Grand Prize Progress	距离大奖	تقدم الجائزة الكبرى	Hauptgewinn-Fortschritt	Progrès du grand prix	大賞までの進捗	대상 진행도	Progresso do Grande Prêmio	До главного приза	Progreso del Gran Premio	ความคืบหน้ารางวัลใหญ่	Büyük Ödül İlerlemesi	距離大獎	Tiến trình Giải thưởng lớn	Kemajuan Hadiah Utama	Progresso Gran Premio	Postęp do Wielkiej Nagrody	FlashSale
LC_IAP_flashsale_my_boost	My Boosts	我的助力	تعزيزاتي	Meine Boosts	Mes coups de pouce	マイブースト	내 부스트	Meus Impulsos	Мои бусты	Mis Impulsos	บูสต์ของฉัน	Desteklerim	我的助力	Hỗ trợ của tôi	Boost Saya	I miei Boost	Moje wzmocnienia	FlashSale
LC_IAP_flashsale_share	Share	分享	مشاركة	Teilen	Partager	シェア	공유	Compartilhar	Поделиться	Compartir	แชร์	Paylaş	分享	Chia sẻ	Bagikan	Condividi	Udostępnij	FlashSale
LC_IAP_flashsale_share_boost	Share & Boost	分享助力	مشاركة ومساعدة	Teilen & Boosten	Partager et Booster	シェア＆ブースト	공유 및 부스트	Compartilhar e Impulsionar	Поделиться и Усилить	Compartir y Potenciar	แชร์และช่วยเหลือ	Paylaş ve Güçlendir	分享助力	Chia sẻ & Hỗ trợ	Bagikan & Dorong	Condividi e Potenzia	Udostępnij i Wzmocnij	FlashSale
LC_IAP_flashsale_share_to_alliance	Share to Syndicate	分享至商会	مشاركة إلى النقابة	Teilen mit Syndikat	Partager au Syndicat	シンジケートにシェア	신디케이트에 공유	Compartilhar para Sindicatos	Поделиться в Синдикат	COMPARTIR al Sindicato	แชร์ไปยังซินดิเคท	Sendikaya PAYLAŞ	分享至商會	Chia sẻ tới tập đoàn	Bagikan ke Kamar Dagang	CONDIVIDI al Sindacato	Udostępnij do Syndykatu	FlashSale
LC_IAP_flashsale_share_to_world	Share to World	分享至世界	مشاركة إلى العالم	In Welt teilen	Partager au Monde	ワールドに共有	월드에 공유	Compartilhar no Mundo	Поделиться в мире	Compartir al Mundo	แชร์ไปยังโลก	Dünyaya Paylaş	分享至世界	Chia sẻ đến Thế giới	Bagikan ke Dunia	Condividi nel Mondo	Udostępnij na świat	FlashSale
LC_IAP_flashsale_tap_box_draw	Tap a box to draw	点击箱子抽奖	اضغط على صندوق للسحب	Tippe auf eine Kiste zum Ziehen	Appuyez sur une boîte pour tirer	ボックスをタップして抽選	상자를 터치하여 뽑기	Toque em uma caixa para sortear	Нажмите на сундук для розыгрыша	Toca una caja para sortear	แตะกล่องเพื่อสุ่ม	Çekmek için kutuya dokun	點擊箱子抽獎	Chạm hộp để quay	Ketuk kotak untuk undian	Tocca una cassa per estrarre	Dotknij skrzynkę, aby losować	FlashSale
lc_ui_get_now_cap	GET NOW	立刻获得	احصل عليه الآن	JETZT HOLEN	OBTENIR MAINTENANT	今すぐ取得	지금 받기	OBTENHA AGORA	ПОЛУЧИТЬ СЕЙЧАС	OBTÉN AHORA	รับเลยตอนนี้	ŞİMDİ AL	立刻獲得	NHẬN NGAY	Segera Dapatkan	OTTIENI ORA	ZDOBĄDŹ TERAZ	FlashSale
lc_ui_guaranteed	Guaranteed	必得	مضمون	Garantiert	Garanti	保証	보장된	Garantido	Гарантировано	Garantizado	รับประกัน	Garantili	必得	Đảm Bảo	Pasti Dapat	Garantito	Gwarantowane	FlashSale+FlashSaleItem+FlashSaleRewardGet
LC_EVENT_flash_sale_name	LIMITED-TIME FLASH SALE	限时抢购	تخفيضات الفلاش المحدودة الوقت	LIMITIERTER BLITZVERKAUF	VENTE FLASH À DURÉE LIMITÉE	限定時間フラッシュセール	한정 기간 플래시 세일	VENDA RELÂMPAGO POR TEMPO LIMITADO	ОГРАНИЧЕННАЯ ПО ВРЕМЕНИ МОЛНИЕНОСНАЯ РАСПРОДАЖА	VENTA RELÁMPAGO POR TIEMPO LIMITADO	การขายแบบแฟลชมีเวลาจำกัด	SINIRLI SÜRELİ FLAŞ SATIŞ	限時搶購	BÁN HÀNG CHỚP NHOÁNG GIỚI HẠN THỜI GIAN	PENJUALAN KILAT TERBATAS WAKTU	VENDITA LAMPO A TEMPO LIMITATO	LIMITOWANA BŁYSKAWICZNA WYPRZEDAŻ	FlashSalePop
LC_EVENT_flash_sale_pop_goto_button	HEAD TO	前往	توجه إلى	GEHE ZU	EN ROUTE VERS	向かう	가는 중	A CAMINHO DE	НАПРАВЛЯЙТЕСЬ К	DIRÍGETE A	มุ่งหน้าไป	YOLA ÇIK	前往	TIẾN ĐẾN	MENUJU	DIRIGITI VERSO	UDAJ SIĘ DO	FlashSalePop
LC_EVENT_flash_sale_pop_tips_1	Limited-time flash sale with massive discounts for all servers – don’t miss out!	全服限时抢购，超大折扣，机不可失	تخفيضات الفلاش المحدودة الوقت مع خصومات ضخمة لجميع السيرفرات – لا تفوتها!	Limitierter Blitzverkauf mit massiven Rabatten für alle Server – verpasse es nicht!	Vente flash à durée limitée avec des réductions massives pour tous les serveurs – ne manquez pas ça!	全サーバー向けの限定時間フラッシュセール、大幅割引をお見逃しなく！	모든 서버를 위한 한정 기간 플래시 세일 – 엄청난 할인을 놓치지 마세요!	Venda relâmpago por tempo limitado com descontos massivos para todos os servidores – não perca!	Ограниченная по времени молниеносная распродажа с огромными скидками для всех серверов – не пропустите!	Venta relámpago por tiempo limitado con descuentos masivos para todos los servidores – ¡no te lo pierdas!	การขายแบบแฟลชมีเวลาจำกัดพร้อมส่วนลดมากมายสำหรับทุกเซิร์ฟเวอร์ – อย่าพลาด!	Tüm sunucular için devasa indirimlerle sınırlı süreli flaş satış – kaçırma!	全服限時搶購，超大折扣，機不可失	Bán hàng chớp nhoáng giới hạn thời gian với giảm giá khổng lồ cho tất cả các máy chủ – đừng bỏ lỡ!	Penjualan kilat terbatas dengan diskon besar untuk semua server – jangan lewatkan!	Vendita lampo a tempo limitato con sconti massicci per tutti i server – non perdertela!	Limitowana błyskawiczna wyprzedaż z ogromnymi rabatami dla wszystkich serwerów – nie przegap!	FlashSalePop
LC_EVENT_strong_consume_info_desc_2																		FlashSalePop
LC_IAP_flashsale_value_promotion	VALUE PROMOTION	VALUE PROMOTION	عرض قيمة	SUPER ANGEBOT	PROMOTION EXCEPTIONNELLE	バリュープロモーション	밸류 프로모션	PROMOÇÃO DE VALOR	СУПЕРПРЕДЛОЖЕНИЕ	PROMOCIÓN DE VALOR	โปรโมชั่นสุดคุ้ม	DEĞER PROMOSYONU	VALUE PROMOTION	KHUYẾN MÃI GIÁ TRỊ	PROMOSI NILAI	PROMOZIONE DI VALORE	PROMOCJA WARTOŚCIOWA	FlashSalePop
LC_IAP_scene_limit	One time only!	限购一次！	مرة واحدة فقط!	Nur einmal!	Une fois seulement!	一回限り！	한 번만!	Só dessa vez!	Только один раз!	¡Por única ocasión!	ครั้งเดียวเท่านั้น!	Tek seferlik!	限購一次！	Chỉ được mua một lần duy nhất!	Hanya satu kali!	Offerta unica!	Tylko raz!	FlashSalePop
LC_IAP_vip_super_sale	SUPER SALE	超值贩售	تخفيضات فائقة	SUPER SALE	SUPER SALE	スーパーセール	슈퍼 세일	SUPER SALE	SUPER SALE	SUPER SALE	SUPER SALE	SUPER SALE	SUPER SALE	SUPER SALE	SUPER SALE	SVENDITA	WYPRZEDAŻ	FlashSalePop
lc_ui_tap_blank_close	Tap any blank area to close	点击空白区域关闭	اضغط على أي منطقة فارغة للإغلاق	Tippen Sie auf einen beliebigen leeren Bereich, um zu schließen	Touchez n'importe quelle zone vide pour fermer	空白部分をタップして閉じる	빈 공간을 탭하여 닫기	Toque em qualquer área em branco para fechar	Нажмите на любое пустое место, чтобы закрыть	Toca cualquier área en blanco para cerrar	แตะพื้นที่ว่างใด ๆ เพื่อปิด	Boş bir alana dokunarak kapatın	點擊空白區域關閉	Nhấn vào bất kỳ khu vực trống nào để đóng	Klik area kosong untuk menutup	Tocca qualsiasi area vuota per chiudere	Dotknij dowolnego pustego miejsca, aby zamknąć	FlashSalePop
LC_EVENT_2024_fes_box_botton_1	OPEN 1X	开启1次	فتح 1X	ÖFFNE 1X	OUVRIR 1X	開く 1X	열기 1X	ABRIR 1X	Открыть 1X	ABRIR 1X	เปิด 1 ครั้ง	AÇ 1X	開啟1次	Mở 1 lần	Buka 1 kali	APRI X1	OTWÓRZ 1X	FlashSaleRewardGet
LC_EVENT_2024_fes_box_botton_10	OPEN 10X	开启10次	فتح 10X	ÖFFNE 10X	OUVRIR 10X	開く 10X	열기 10X	ABRIR 10X	Открыть 10X	ABRIR 10X	เปิด 10 ครั้ง	AÇ 10X	開啟10次	Mở 10 lần	Buka 10 kali	APRI X10	OTWÓRZ 10X	FlashSaleRewardGet
LC_IAP_flashsale_chest_reward_desc	Opening the chest will randomly grant the following rewards	开启宝箱将随机获得以下奖励	فتح الصندوق سيمنح عشوائيًا المكافآت التالية	Das Öffnen der Truhe gewährt zufällig folgende Belohnungen	L'ouverture du coffre donnera aléatoirement les récompenses suivantes	宝箱を開けるとランダムで以下の報酬を獲得	상자를 열면 다음 보상 중 랜덤으로 획득	Abrir o baú concederá aleatoriamente as seguintes recompensas	Открытие сундука случайно даст следующие награды	Al abrir el cofre se otorgarán aleatoriamente las siguientes recompensas	การเปิดกล่องจะได้รับรางวัลต่อไปนี้แบบสุ่ม	Sandığı açmak rastgele aşağıdaki ödülleri verecektir	開啟寶箱將隨機獲得以下獎勵	Mở rương sẽ nhận ngẫu nhiên các phần thưởng sau	Membuka peti akan memberikan hadiah berikut secara acak	Aprire il forziere concederà casualmente i seguenti premi	Otwarcie skrzyni losowo przyzna następujące nagrody	FlashSaleRewardGet
LC_IAP_flashsale_open_grand_prize	Open {0}/{1} times to win the Grand Prize!	开启{0}/{1}次获得大奖！	!افتح {0}/{1} مرة للفوز بالجائزة الكبرى	Öffne {0}/{1} Mal, um den Hauptgewinn zu gewinnen!	Ouvrez {0}/{1} fois pour gagner le Grand Prix !	{0}/{1}回開封で大賞獲得！	{0}/{1}회 열어서 대상 획득!	Abra {0}/{1} vezes para ganhar o Grande Prêmio!	Откройте {0}/{1} раз, чтобы выиграть Главный приз!	¡Abre {0}/{1} veces para ganar el Gran Premio!	เปิด {0}/{1} ครั้งเพื่อรับรางวัลใหญ่!	{0}/{1} kez açarak Büyük Ödülü kazan!	開啟{0}/{1}次獲得大獎！	Mở {0}/{1} lần để nhận Giải thưởng lớn!	Buka {0}/{1} kali untuk memenangkan Hadiah Utama!	Apri {0}/{1} volte per vincere il Gran Premio!	Otwórz {0}/{1} razy, aby wygrać Wielką Nagrodę!	FlashSaleRewardGet
LC_IAP_flashsale_owned_count	Owned: {0}	拥有数量:{0}	{0} :مملوك	Besitz: {0}	Possédé : {0}	所持数:{0}	보유 수량: {0}	Possuído: {0}	В наличии: {0}	Poseído: {0}	จำนวนที่มี: {0}	Sahip olunan: {0}	擁有數量:{0}	Sở hữu: {0}	Dimiliki: {0}	Posseduti: {0}	Posiadane: {0}	FlashSaleRewardGet
LC_IAP_flashsale_surprise_chest	Surprise Chest	惊喜宝箱	صندوق المفاجآت	Überraschungstruhe	Coffre Surprise	サプライズチェスト	서프라이즈 상자	Baú Surpresa	Сундук-сюрприз	Cofre Sorpresa	กล่องเซอร์ไพรส์	Sürpriz Sandık	驚喜寶箱	Rương Bất Ngờ	Peti Kejutan	Forziere a Sorpresa	Skrzynia Niespodzianek	FlashSaleRewardGet
